type,id_0,id_1,id_2,weight_0,weight_1,weight_2,label
all,mp-864717,mp-1189310,mp-1198047,0.3665158371040724,0.3755656108597285,0.2579185520361991,0.89
all,mp-864717,mp-1189310,mp-1198047,0.1959459459459459,0.3378378378378378,0.4662162162162163,1.27
all,mp-864717,mp-1189310,mp-1198047,0.089430894308943,0.6016260162601627,0.3089430894308943,1.22
all,mp-864717,mp-1189310,mp-1198047,0.4641148325358852,0.1674641148325359,0.368421052631579,0.9
all,mp-864717,mp-1189310,mp-1198047,0.558282208588957,0.3742331288343558,0.0674846625766871,0.51
all,mp-864717,mp-1189310,mp-1198047,0.4615384615384615,0.2403846153846153,0.2980769230769231,0.84
all,mp-864717,mp-1189310,mp-1198047,0.6137931034482758,0.3103448275862068,0.0758620689655172,0.46
all,mp-864717,mp-1189310,mp-1198047,0.1428571428571428,0.1804511278195488,0.6766917293233082,1.53
all,mp-864717,mp-1189310,mp-1198047,0.7080291970802919,0.0802919708029197,0.2116788321167882,0.5
all,mp-864717,mp-1189310,mp-1198047,0.1944444444444444,0.5166666666666667,0.2888888888888889,1.09
all,mp-864717,mp-1189310,mp-1198047,0.3203883495145631,0.2281553398058252,0.4514563106796116,1.13
all,mp-864717,mp-1189310,mp-1198047,0.3282828282828282,0.2171717171717171,0.4545454545454546,1.13
all,mp-864717,mp-1189310,mp-1198047,0.3534883720930232,0.3488372093023256,0.2976744186046511,0.94
all,mp-864717,mp-1189310,mp-1198047,0.4873949579831932,0.4201680672268907,0.0924369747899159,0.61
all,mp-864717,mp-1189310,mp-1198047,0.1475409836065573,0.8032786885245902,0.0491803278688524,0.9
all,mp-864717,mp-1189310,mp-1198047,0.3571428571428571,0.2698412698412699,0.373015873015873,1.02
all,mp-864717,mp-1189310,mp-1198047,0.0909090909090909,0.5227272727272727,0.3863636363636363,1.3
all,mp-864717,mp-1189310,mp-1198047,0.3125,0.3,0.3874999999999999,1.08
all,mp-864717,mp-1189310,mp-1198047,0.0,0.736842105263158,0.2631578947368421,1.26
all,mp-864717,mp-1189310,mp-1198047,0.0,0.5061728395061729,0.4938271604938271,1.49
all,mp-1183810,mp-570706,mp-573069,0.3166023166023166,0.3822393822393822,0.3011583011583011,0.98
all,mp-1183810,mp-570706,mp-573069,0.1264367816091953,0.4712643678160919,0.4022988505747126,1.28
all,mp-1183810,mp-570706,mp-573069,0.3275109170305676,0.3668122270742358,0.3056768558951965,0.98
all,mp-1183810,mp-570706,mp-573069,0.1499999999999999,0.36,0.49,1.34
all,mp-1183810,mp-570706,mp-573069,0.4479166666666667,0.34375,0.2083333333333333,0.76
