model_id,seed,feature_index,importance
Ti_bader_pointwise_feff_natural,42,0,0.05053588501320047
Ti_bader_pointwise_feff_natural,42,1,0.030263055289345694
Ti_bader_pointwise_feff_natural,42,2,0.02150415123361921
Ti_bader_pointwise_feff_natural,42,3,0.022681211788522934
Ti_bader_pointwise_feff_natural,42,4,0.020133000957500983
Ti_bader_pointwise_feff_natural,42,5,0.01095302426447948
Ti_bader_pointwise_feff_natural,42,6,0.010655917078264078
Ti_bader_pointwise_feff_natural,42,7,0.014365331667490764
Ti_bader_pointwise_feff_natural,42,8,0.010742937384020905
Ti_bader_pointwise_feff_natural,42,9,0.012087311602762637
Ti_bader_pointwise_feff_natural,42,10,0.010784189942503637
Ti_bader_pointwise_feff_natural,42,11,0.01140904895797008
Ti_bader_pointwise_feff_natural,42,12,0.014203313277199831
Ti_bader_pointwise_feff_natural,42,13,0.016809248914199854
Ti_bader_pointwise_feff_natural,42,14,0.011587913832655823
Ti_bader_pointwise_feff_natural,42,15,0.015946820928723668
Ti_bader_pointwise_feff_natural,42,16,0.035475524399393256
Ti_bader_pointwise_feff_natural,42,17,0.019450983499159195
Ti_bader_pointwise_feff_natural,42,18,0.015671332441491187
Ti_bader_pointwise_feff_natural,42,19,0.012881515231946979
Ti_bader_pointwise_feff_natural,42,20,0.007903745760761628
Ti_bader_pointwise_feff_natural,42,21,0.005993882611338093
Ti_bader_pointwise_feff_natural,42,22,0.006545500234631371
Ti_bader_pointwise_feff_natural,42,23,0.008355285641819775
Ti_bader_pointwise_feff_natural,42,24,0.0076344783784761516
Ti_bader_pointwise_feff_natural,42,25,0.00815972230383992
Ti_bader_pointwise_feff_natural,42,26,0.0058913823612440075
Ti_bader_pointwise_feff_natural,42,27,0.005492508341646441
Ti_bader_pointwise_feff_natural,42,28,0.004934400673348124
Ti_bader_pointwise_feff_natural,42,29,0.00502741380335528
Ti_bader_pointwise_feff_natural,42,30,0.004324176645534788
Ti_bader_pointwise_feff_natural,42,31,0.004703412336605346
Ti_bader_pointwise_feff_natural,42,32,0.006640635416871413
Ti_bader_pointwise_feff_natural,42,33,0.005859247111545582
Ti_bader_pointwise_feff_natural,42,34,0.006287038138730641
Ti_bader_pointwise_feff_natural,42,35,0.008009092744950647
Ti_bader_pointwise_feff_natural,42,36,0.005433470425064058
Ti_bader_pointwise_feff_natural,42,37,0.004941940520955474
Ti_bader_pointwise_feff_natural,42,38,0.007629009677141005
Ti_bader_pointwise_feff_natural,42,39,0.00751412532710223
Ti_bader_pointwise_feff_natural,42,40,0.007281488706031776
Ti_bader_pointwise_feff_natural,42,41,0.008184871307611143
Ti_bader_pointwise_feff_natural,42,42,0.014557385975888439
Ti_bader_pointwise_feff_natural,42,43,0.017654054344628866
Ti_bader_pointwise_feff_natural,42,44,0.015220719992238969
Ti_bader_pointwise_feff_natural,42,45,0.021225887869333757
Ti_bader_pointwise_feff_natural,42,46,0.01315714672879428
Ti_bader_pointwise_feff_natural,42,47,0.016381229634019643
Ti_bader_pointwise_feff_natural,42,48,0.013402781990720198
Ti_bader_pointwise_feff_natural,42,49,0.012498496790698645
Ti_bader_pointwise_feff_natural,42,50,0.01247400459025888
Ti_bader_pointwise_feff_natural,42,51,0.012087790666309543
Ti_bader_pointwise_feff_natural,42,52,0.011021845042338756
