method,representation,condition,fold,chemistry,group,metric,value,n
RBF-SVM,Combined,baseline,0,Li-La-Zr-O,all,exact_match,0.9910714285714286,112
RBF-SVM,Combined,baseline,0,Li-La-Zr-O,all,micro_f1,0.9910714285714286,112
RBF-SVM,Combined,baseline,0,Li-Ti-P-O,all,exact_match,0.9724137931034482,145
RBF-SVM,Combined,baseline,0,Li-Ti-P-O,all,micro_f1,0.9724137931034482,145
RBF-SVM,PDF,baseline,0,Li-La-Zr-O,all,exact_match,0.9642857142857143,112
RBF-SVM,PDF,baseline,0,Li-La-Zr-O,all,micro_f1,0.9642857142857143,112
RBF-SVM,PDF,baseline,0,Li-Ti-P-O,all,exact_match,0.9724137931034482,145
RBF-SVM,PDF,baseline,0,Li-Ti-P-O,all,micro_f1,0.9724137931034482,145
RBF-SVM,XRD,baseline,0,Li-La-Zr-O,all,exact_match,0.9821428571428571,112
RBF-SVM,XRD,baseline,0,Li-La-Zr-O,all,micro_f1,0.9821428571428571,112
RBF-SVM,XRD,baseline,0,Li-Ti-P-O,all,exact_match,0.9310344827586207,145
RBF-SVM,XRD,baseline,0,Li-Ti-P-O,all,micro_f1,0.9310344827586207,145
Ridge,Combined,baseline,0,Li-La-Zr-O,all,exact_match,0.9732142857142857,112
Ridge,Combined,baseline,0,Li-La-Zr-O,all,micro_f1,0.9732142857142857,112
Ridge,Combined,baseline,0,Li-Ti-P-O,all,exact_match,0.9586206896551724,145
Ridge,Combined,baseline,0,Li-Ti-P-O,all,micro_f1,0.9586206896551724,145
Ridge,PDF,baseline,0,Li-La-Zr-O,all,exact_match,0.9732142857142857,112
Ridge,PDF,baseline,0,Li-La-Zr-O,all,micro_f1,0.9732142857142857,112
Ridge,PDF,baseline,0,Li-Ti-P-O,all,exact_match,0.9586206896551724,145
Ridge,PDF,baseline,0,Li-Ti-P-O,all,micro_f1,0.9586206896551724,145
Ridge,XRD,baseline,0,Li-La-Zr-O,all,exact_match,0.9553571428571429,112
Ridge,XRD,baseline,0,Li-La-Zr-O,all,micro_f1,0.9553571428571429,112
Ridge,XRD,baseline,0,Li-Ti-P-O,all,exact_match,0.9448275862068966,145
Ridge,XRD,baseline,0,Li-Ti-P-O,all,micro_f1,0.9448275862068966,145
