run_id,true_coordination,predicted_coordination,count
Ti_coord_identified_material_r0_s113_released,4,4,22
Ti_coord_identified_material_r0_s113_released,4,5,17
Ti_coord_identified_material_r0_s113_released,4,6,0
Ti_coord_identified_material_r0_s113_released,5,4,1
Ti_coord_identified_material_r0_s113_released,5,5,221
Ti_coord_identified_material_r0_s113_released,5,6,29
Ti_coord_identified_material_r0_s113_released,6,4,0
Ti_coord_identified_material_r0_s113_released,6,5,25
Ti_coord_identified_material_r0_s113_released,6,6,150
Ti_coord_identified_material_r0_s113_unit_peak,4,4,24
Ti_coord_identified_material_r0_s113_unit_peak,4,5,15
Ti_coord_identified_material_r0_s113_unit_peak,4,6,0
Ti_coord_identified_material_r0_s113_unit_peak,5,4,1
Ti_coord_identified_material_r0_s113_unit_peak,5,5,211
Ti_coord_identified_material_r0_s113_unit_peak,5,6,39
Ti_coord_identified_material_r0_s113_unit_peak,6,4,0
Ti_coord_identified_material_r0_s113_unit_peak,6,5,28
Ti_coord_identified_material_r0_s113_unit_peak,6,6,147
Ti_coord_identified_material_r0_s211_released,4,4,21
Ti_coord_identified_material_r0_s211_released,4,5,18
Ti_coord_identified_material_r0_s211_released,4,6,0
Ti_coord_identified_material_r0_s211_released,5,4,1
Ti_coord_identified_material_r0_s211_released,5,5,223
Ti_coord_identified_material_r0_s211_released,5,6,27
Ti_coord_identified_material_r0_s211_released,6,4,0
Ti_coord_identified_material_r0_s211_released,6,5,24
Ti_coord_identified_material_r0_s211_released,6,6,151
Ti_coord_identified_material_r0_s211_unit_peak,4,4,18
Ti_coord_identified_material_r0_s211_unit_peak,4,5,21
Ti_coord_identified_material_r0_s211_unit_peak,4,6,0
Ti_coord_identified_material_r0_s211_unit_peak,5,4,1
Ti_coord_identified_material_r0_s211_unit_peak,5,5,209
Ti_coord_identified_material_r0_s211_unit_peak,5,6,41
Ti_coord_identified_material_r0_s211_unit_peak,6,4,0
Ti_coord_identified_material_r0_s211_unit_peak,6,5,29
Ti_coord_identified_material_r0_s211_unit_peak,6,6,146
Ti_coord_identified_material_r1_s113_released,4,4,27
Ti_coord_identified_material_r1_s113_released,4,5,9
Ti_coord_identified_material_r1_s113_released,4,6,0
Ti_coord_identified_material_r1_s113_released,5,4,3
Ti_coord_identified_material_r1_s113_released,5,5,208
Ti_coord_identified_material_r1_s113_released,5,6,21
Ti_coord_identified_material_r1_s113_released,6,4,0
Ti_coord_identified_material_r1_s113_released,6,5,21
Ti_coord_identified_material_r1_s113_released,6,6,162
Ti_coord_identified_material_r1_s113_unit_peak,4,4,25
Ti_coord_identified_material_r1_s113_unit_peak,4,5,11
Ti_coord_identified_material_r1_s113_unit_peak,4,6,0
Ti_coord_identified_material_r1_s113_unit_peak,5,4,7
Ti_coord_identified_material_r1_s113_unit_peak,5,5,201
Ti_coord_identified_material_r1_s113_unit_peak,5,6,24
Ti_coord_identified_material_r1_s113_unit_peak,6,4,2
Ti_coord_identified_material_r1_s113_unit_peak,6,5,34
Ti_coord_identified_material_r1_s113_unit_peak,6,6,147
Ti_coord_identified_material_r1_s211_released,4,4,25
Ti_coord_identified_material_r1_s211_released,4,5,11
Ti_coord_identified_material_r1_s211_released,4,6,0
Ti_coord_identified_material_r1_s211_released,5,4,5
Ti_coord_identified_material_r1_s211_released,5,5,202
Ti_coord_identified_material_r1_s211_released,5,6,25
Ti_coord_identified_material_r1_s211_released,6,4,0
Ti_coord_identified_material_r1_s211_released,6,5,21
Ti_coord_identified_material_r1_s211_released,6,6,162
Ti_coord_identified_material_r1_s211_unit_peak,4,4,24
Ti_coord_identified_material_r1_s211_unit_peak,4,5,12
Ti_coord_identified_material_r1_s211_unit_peak,4,6,0
Ti_coord_identified_material_r1_s211_unit_peak,5,4,5
Ti_coord_identified_material_r1_s211_unit_peak,5,5,205
Ti_coord_identified_material_r1_s211_unit_peak,5,6,22
Ti_coord_identified_material_r1_s211_unit_peak,6,4,2
Ti_coord_identified_material_r1_s211_unit_peak,6,5,32
Ti_coord_identified_material_r1_s211_unit_peak,6,6,149
V_coord_identified_material_r0_s113_released,4,4,266
V_coord_identified_material_r0_s113_released,4,5,7
V_coord_identified_material_r0_s113_released,4,6,0
V_coord_identified_material_r0_s113_released,5,4,18
V_coord_identified_material_r0_s113_released,5,5,289
V_coord_identified_material_r0_s113_released,5,6,45
V_coord_identified_material_r0_s113_released,6,4,0
V_coord_identified_material_r0_s113_released,6,5,43
V_coord_identified_material_r0_s113_released,6,6,247
V_coord_identified_material_r0_s113_unit_peak,4,4,260
V_coord_identified_material_r0_s113_unit_peak,4,5,12
V_coord_identified_material_r0_s113_unit_peak,4,6,1
V_coord_identified_material_r0_s113_unit_peak,5,4,20
V_coord_identified_material_r0_s113_unit_peak,5,5,271
V_coord_identified_material_r0_s113_unit_peak,5,6,61
V_coord_identified_material_r0_s113_unit_peak,6,4,0
V_coord_identified_material_r0_s113_unit_peak,6,5,54
V_coord_identified_material_r0_s113_unit_peak,6,6,236
V_coord_identified_material_r0_s211_released,4,4,265
V_coord_identified_material_r0_s211_released,4,5,8
V_coord_identified_material_r0_s211_released,4,6,0
V_coord_identified_material_r0_s211_released,5,4,19
V_coord_identified_material_r0_s211_released,5,5,292
V_coord_identified_material_r0_s211_released,5,6,41
V_coord_identified_material_r0_s211_released,6,4,0
V_coord_identified_material_r0_s211_released,6,5,44
V_coord_identified_material_r0_s211_released,6,6,246
V_coord_identified_material_r0_s211_unit_peak,4,4,259
V_coord_identified_material_r0_s211_unit_peak,4,5,13
V_coord_identified_material_r0_s211_unit_peak,4,6,1
V_coord_identified_material_r0_s211_unit_peak,5,4,22
V_coord_identified_material_r0_s211_unit_peak,5,5,265
V_coord_identified_material_r0_s211_unit_peak,5,6,65
V_coord_identified_material_r0_s211_unit_peak,6,4,0
V_coord_identified_material_r0_s211_unit_peak,6,5,46
V_coord_identified_material_r0_s211_unit_peak,6,6,244
V_coord_identified_material_r1_s113_released,4,4,265
V_coord_identified_material_r1_s113_released,4,5,3
V_coord_identified_material_r1_s113_released,4,6,0
V_coord_identified_material_r1_s113_released,5,4,19
V_coord_identified_material_r1_s113_released,5,5,237
V_coord_identified_material_r1_s113_released,5,6,33
V_coord_identified_material_r1_s113_released,6,4,1
V_coord_identified_material_r1_s113_released,6,5,53
V_coord_identified_material_r1_s113_released,6,6,248
