model_id,rank,importance,label,degree,parts,chunk,energy_lo,energy_hi,index
Ti_coord_poly_feff_balanced,1,0.10060282656098869,"loc:all,deg:3,fraction_size:20,chunk:16,coef:0",0,20,16,5011.039595959596,5013.141575757576,72
Ti_coord_poly_feff_balanced,2,0.07373777347231719,"loc:all,deg:3,fraction_size:20,chunk:0,coef:0",0,20,0,4969.0,4971.10197979798,40
Ti_coord_poly_feff_balanced,3,0.07354579938572274,"loc:all,deg:3,fraction_size:10,chunk:0,coef:0",0,10,0,4969.0,4973.729454545454,0
Ti_coord_poly_feff_balanced,4,0.05844804788059601,"loc:all,deg:3,fraction_size:20,chunk:15,coef:0",0,20,15,5008.412121212122,5010.5141010101015,68
Ti_coord_poly_feff_balanced,5,0.0531582592117964,"loc:all,deg:3,fraction_size:10,chunk:8,coef:0",0,10,8,5011.039595959596,5015.7690505050505,32
Ti_coord_poly_feff_balanced,6,0.034258586768580464,"loc:all,deg:3,fraction_size:10,chunk:7,coef:0",0,10,7,5005.784646464646,5010.5141010101015,28
Ti_coord_poly_feff_balanced,7,0.029811300240614874,"loc:all,deg:3,fraction_size:10,chunk:0,coef:2",2,10,0,4969.0,4973.729454545454,2
Ti_coord_poly_feff_balanced,8,0.028453926646425706,"loc:all,deg:3,fraction_size:20,chunk:17,coef:0",0,20,17,5013.667070707071,5015.7690505050505,76
Ti_coord_poly_feff_balanced,9,0.026959208567917007,"loc:all,deg:3,fraction_size:4,chunk:3,coef:0",0,4,3,5008.412121212122,5021.024,132
Ti_coord_poly_feff_balanced,10,0.018325102112789468,"loc:all,deg:3,fraction_size:20,chunk:14,coef:0",0,20,14,5005.784646464646,5007.886626262626,64
Ti_coord_poly_feff_balanced,11,0.017548368659374522,"loc:all,deg:3,fraction_size:5,chunk:0,coef:1",1,5,0,4969.0,4978.984404040404,137
Ti_coord_poly_feff_balanced,12,0.01718474156902625,"loc:all,deg:3,fraction_size:20,chunk:0,coef:1",1,20,0,4969.0,4971.10197979798,41
Ti_coord_poly_max_balanced,1,0.11019332366128691,"loc:all,deg:3,fraction_size:10,chunk:0,coef:0",0,10,0,4969.0,4973.729454545454,0
Ti_coord_poly_max_balanced,2,0.09930488882567483,"loc:all,deg:3,fraction_size:20,chunk:0,coef:0",0,20,0,4969.0,4971.10197979798,40
Ti_coord_poly_max_balanced,3,0.03871256283636121,"loc:all,deg:3,fraction_size:10,chunk:0,coef:2",2,10,0,4969.0,4973.729454545454,2
Ti_coord_poly_max_balanced,4,0.03403409036283068,"loc:all,deg:3,fraction_size:10,chunk:7,coef:0",0,10,7,5005.784646464646,5010.5141010101015,28
Ti_coord_poly_max_balanced,5,0.029397106440354825,"loc:all,deg:3,fraction_size:20,chunk:15,coef:0",0,20,15,5008.412121212122,5010.5141010101015,68
Ti_coord_poly_max_balanced,6,0.029089908186171545,"loc:all,deg:3,fraction_size:10,chunk:0,coef:1",1,10,0,4969.0,4973.729454545454,1
Ti_coord_poly_max_balanced,7,0.02730088423847356,"loc:all,deg:3,fraction_size:20,chunk:0,coef:1",1,20,0,4969.0,4971.10197979798,41
