run_id,role,coordination,count
Ti_coord_identified_material_r0_s113_released,train,4,114
Ti_coord_identified_material_r0_s113_released,train,5,791
Ti_coord_identified_material_r0_s113_released,train,6,628
Ti_coord_identified_material_r0_s113_released,validation,4,57
Ti_coord_identified_material_r0_s113_released,validation,5,273
Ti_coord_identified_material_r0_s113_released,validation,6,198
Ti_coord_identified_material_r0_s113_released,test,4,39
Ti_coord_identified_material_r0_s113_released,test,5,251
Ti_coord_identified_material_r0_s113_released,test,6,175
Ti_coord_identified_material_r0_s113_unit_peak,train,4,114
Ti_coord_identified_material_r0_s113_unit_peak,train,5,791
Ti_coord_identified_material_r0_s113_unit_peak,train,6,628
Ti_coord_identified_material_r0_s113_unit_peak,validation,4,57
Ti_coord_identified_material_r0_s113_unit_peak,validation,5,273
Ti_coord_identified_material_r0_s113_unit_peak,validation,6,198
Ti_coord_identified_material_r0_s113_unit_peak,test,4,39
Ti_coord_identified_material_r0_s113_unit_peak,test,5,251
Ti_coord_identified_material_r0_s113_unit_peak,test,6,175
Ti_coord_identified_material_r0_s211_released,train,4,114
Ti_coord_identified_material_r0_s211_released,train,5,791
Ti_coord_identified_material_r0_s211_released,train,6,628
Ti_coord_identified_material_r0_s211_released,validation,4,57
Ti_coord_identified_material_r0_s211_released,validation,5,273
Ti_coord_identified_material_r0_s211_released,validation,6,198
Ti_coord_identified_material_r0_s211_released,test,4,39
Ti_coord_identified_material_r0_s211_released,test,5,251
Ti_coord_identified_material_r0_s211_released,test,6,175
Ti_coord_identified_material_r0_s211_unit_peak,train,4,114
Ti_coord_identified_material_r0_s211_unit_peak,train,5,791
Ti_coord_identified_material_r0_s211_unit_peak,train,6,628
Ti_coord_identified_material_r0_s211_unit_peak,validation,4,57
Ti_coord_identified_material_r0_s211_unit_peak,validation,5,273
Ti_coord_identified_material_r0_s211_unit_peak,validation,6,198
Ti_coord_identified_material_r0_s211_unit_peak,test,4,39
Ti_coord_identified_material_r0_s211_unit_peak,test,5,251
Ti_coord_identified_material_r0_s211_unit_peak,test,6,175
Ti_coord_identified_material_r1_s113_released,train,4,126
Ti_coord_identified_material_r1_s113_released,train,5,762
Ti_coord_identified_material_r1_s113_released,train,6,590
Ti_coord_identified_material_r1_s113_released,validation,4,48
Ti_coord_identified_material_r1_s113_released,validation,5,321
Ti_coord_identified_material_r1_s113_released,validation,6,228
Ti_coord_identified_material_r1_s113_released,test,4,36
