type,id_0,id_1,id_2,weight_0,weight_1,weight_2,label
all,mp-864717,mp-1189310,mp-1198047,0.36651583710407243,0.37556561085972856,0.2579185520361991,0.89
all,mp-864717,mp-1189310,mp-1198047,0.19594594594594597,0.33783783783783783,0.4662162162162163,1.27
all,mp-864717,mp-1189310,mp-1198047,0.08943089430894308,0.6016260162601627,0.3089430894308943,1.22
all,mp-864717,mp-1189310,mp-1198047,0.4641148325358852,0.16746411483253593,0.368421052631579,0.9
all,mp-864717,mp-1189310,mp-1198047,0.558282208588957,0.3742331288343558,0.06748466257668712,0.51
all,mp-864717,mp-1189310,mp-1198047,0.4615384615384615,0.24038461538461536,0.2980769230769231,0.84
all,mp-864717,mp-1189310,mp-1198047,0.6137931034482758,0.31034482758620685,0.07586206896551723,0.46
all,mp-864717,mp-1189310,mp-1198047,0.14285714285714282,0.18045112781954886,0.6766917293233082,1.53
all,mp-864717,mp-1189310,mp-1198047,0.7080291970802919,0.08029197080291971,0.21167883211678828,0.5
all,mp-864717,mp-1189310,mp-1198047,0.19444444444444442,0.5166666666666667,0.2888888888888889,1.09
all,mp-864717,mp-1189310,mp-1198047,0.3203883495145631,0.22815533980582525,0.45145631067961167,1.13
all,mp-864717,mp-1189310,mp-1198047,0.32828282828282823,0.21717171717171718,0.4545454545454546,1.13
all,mp-864717,mp-1189310,mp-1198047,0.35348837209302325,0.3488372093023256,0.29767441860465116,0.94
all,mp-864717,mp-1189310,mp-1198047,0.48739495798319327,0.4201680672268907,0.09243697478991596,0.61
all,mp-864717,mp-1189310,mp-1198047,0.14754098360655732,0.8032786885245902,0.04918032786885246,0.9
all,mp-864717,mp-1189310,mp-1198047,0.35714285714285715,0.2698412698412699,0.373015873015873,1.02
all,mp-864717,mp-1189310,mp-1198047,0.09090909090909091,0.5227272727272727,0.38636363636363635,1.3
all,mp-864717,mp-1189310,mp-1198047,0.3125,0.3,0.38749999999999996,1.08
all,mp-864717,mp-1189310,mp-1198047,0.0,0.736842105263158,0.2631578947368421,1.26
all,mp-864717,mp-1189310,mp-1198047,0.0,0.5061728395061729,0.49382716049382713,1.49
all,mp-1183810,mp-570706,mp-573069,0.31660231660231664,0.38223938223938225,0.30115830115830117,0.98
all,mp-1183810,mp-570706,mp-573069,0.12643678160919536,0.47126436781609193,0.40229885057471265,1.28
all,mp-1183810,mp-570706,mp-573069,0.32751091703056767,0.3668122270742358,0.30567685589519655,0.98
all,mp-1183810,mp-570706,mp-573069,0.14999999999999997,0.36,0.49,1.34
all,mp-1183810,mp-570706,mp-573069,0.4479166666666667,0.34375000000000006,0.20833333333333334,0.76
all,mp-1183810,mp-570706,mp-573069,0.41935483870967744,0.3978494623655914,0.1827956989247312,0.76
all,mp-1183810,mp-570706,mp-573069,0.28,0.05333333333333334,0.6666666666666666,1.39
all,mp-1183810,mp-570706,mp-573069,0.2722222222222222,0.3277777777777778,0.39999999999999997,1.13
all,mp-1183810,mp-570706,mp-573069,0.31651376146788984,0.2752293577981651,0.40825688073394495,1.09
all,mp-1183810,mp-570706,mp-573069,0.53475935828877,0.41711229946524064,0.0481283422459893,0.51
all,mp-1183810,mp-570706,mp-573069,0.11224489795918365,0.4693877551020408,0.4183673469387755,1.31
all,mp-1183810,mp-570706,mp-573069,0.21658986175115208,0.41013824884792627,0.3732718894009217,1.16
all,mp-1183810,mp-570706,mp-573069,0.11797752808988762,0.34831460674157305,0.5337078651685394,1.42
all,mp-1183810,mp-570706,mp-573069,0.376425855513308,0.31178707224334606,0.31178707224334606,0.94
all,mp-1183810,mp-570706,mp-573069,0.5149700598802395,0.2934131736526946,0.19161676646706585,0.68
all,mp-1183810,mp-570706,mp-573069,0.41116751269035534,0.24365482233502533,0.34517766497461927,0.93
all,mp-1183810,mp-570706,mp-573069,0.06521739130434788,0.9347826086956521,0.0,0.93
