material_id,label
mp-10092,1.0
mp-1018685,0.0
mp-1018723,0.0
mp-1018724,0.0
mp-1018741,0.0
mp-1018798,0.0
mp-1018900,0.0
mp-1019275,0.0
mp-10335,2.0
mp-1034,0.0
mp-10428,1.0
mp-1067210,0.0
mp-1068,2.0
mp-1069723,1.0
mp-1071618,0.0
mp-1071623,0.0
mp-1071839,0.0
mp-1071877,0.0
mp-1072011,0.0
mp-1072398,0.0
mp-1072653,0.0
mp-1072756,0.0
mp-1072823,0.0
mp-1072824,0.0
mp-1072944,0.0
mp-1077001,0.0
mp-1077023,0.0
mp-1077108,0.0
mp-1077175,0.0
mp-1077262,0.0
mp-1077341,0.0
mp-1077348,0.0
mp-1077372,0.0
mp-1077377,0.0
mp-1077463,0.0
mp-1077744,0.0
mp-1078387,1.67
mp-1078420,2.0
mp-1078469,1.0
mp-1078587,0.0
mp-1078672,0.0
mp-1078706,1.0
mp-1078909,2.0
mp-1079017,0.0
mp-1079070,2.0
mp-1079193,0.0
mp-1079204,0.0
mp-1079351,2.0
mp-1079383,0.0
mp-1079457,2.0
mp-1079468,2.0
mp-1079602,2.0
mp-1079782,2.0
mp-1079797,0.0
mp-1080022,0.0
mp-1080057,0.0
mp-1080074,0.0
mp-1080173,0.0
mp-1080650,1.0
mp-1080696,0.0
mp-1080708,1.0
mp-1080722,0.0
mp-1080743,0.0
mp-1084809,0.0
mp-1084813,0.0
mp-1087471,1.0
mp-10886,0.0
mp-1091416,1.0
mp-1092251,0.0
mp-1095027,0.0
mp-1095106,0.0
mp-1095168,0.0
mp-1095504,0.0
mp-1095537,0.0
mp-1095679,2.0
mp-10966,2.0
mp-1101077,0.0
mp-1101786,0.0
mp-1101915,2.0
mp-1102046,0.0
mp-1102243,0.0
mp-1102345,2.0
mp-1102607,2.0
mp-1103053,0.0
mp-1103118,1.0
mp-1103166,0.0
mp-1103249,0.0
mp-1103291,1.0
mp-1103352,0.0
mp-1103426,0.0
mp-1103457,1.0
mp-1103484,2.67
mp-1103519,1.0
mp-1103557,2.0
mp-1103650,1.0
mp-1103698,0.0
mp-1103827,2.0
mp-1103905,0.0
mp-1103973,2.0
mp-1104057,2.0
mp-1104173,2.0
mp-1104198,2.0
mp-1104488,0.0
mp-1104535,0.0
mp-1104542,2.0
mp-1104732,1.0
mp-1104755,1.5
mp-1104843,1.0
mp-1104990,2.0
mp-1105109,2.0
mp-1105161,2.5
mp-1105163,0.0
mp-1105220,2.0
mp-1105229,1.0
mp-1105256,1.0
mp-1105298,1.0
mp-1105463,2.0
mp-1105650,2.0
mp-1105845,1.0
mp-11638,0.0
mp-11760,0.0
mp-11771,2.0
mp-1178771,1.0
mp-11791,1.0
mp-1180676,2.0
mp-1181578,1.0
mp-1181628,1.0
mp-1181656,2.0
mp-1181705,0.0
mp-1181826,2.0
mp-1182273,2.0
mp-1182304,2.0
mp-1182677,2.0
mp-1182885,0.0
mp-11833,1.0
mp-11882,0.0
mp-1188223,2.0
mp-1188402,2.0
mp-1188558,1.0
mp-1188561,0.0
mp-1188600,0.0
mp-1188802,2.0
mp-1188871,2.0
mp-1189056,1.0
mp-1189352,2.0
mp-1189362,0.0
mp-1189416,2.0
mp-1189555,0.0
mp-1189666,0.0
mp-1189755,0.0
mp-1190022,0.0
mp-1190137,1.0
mp-1190173,2.0
mp-1190393,2.0
mp-1190440,2.0
mp-1190474,2.0
mp-1190573,0.0
mp-1190630,1.0
mp-1190666,2.67
mp-1190783,2.0
mp-1190785,1.0
mp-1190990,2.0
mp-1191076,1.0
mp-1191086,1.0
mp-1191092,1.0
mp-1191148,2.0
mp-1191238,1.0
mp-1191323,2.0
mp-1191350,1.0
mp-1191383,1.0
mp-1191497,2.0
mp-1191505,2.0
mp-1191650,2.0
mp-1191679,2.0
mp-1191912,2.0
mp-1191913,1.0
mp-1192124,0.0
mp-1192205,1.0
mp-1192264,0.0
mp-1192275,1.0
mp-1192282,0.0
mp-1192355,1.0
mp-1192472,2.0
mp-1192531,1.0
mp-1192555,2.8
mp-1192625,0.0
mp-1192713,1.0
mp-1192779,2.0
mp-1192806,2.0
mp-1192807,2.0
mp-1192830,2.0
mp-1192934,0.0
mp-1192989,0.0
mp-1193079,0.0
mp-1193217,0.0
mp-1193249,2.33
mp-1193268,2.0
mp-1193439,2.0
mp-1193512,2.67
mp-1193540,2.0
mp-1193551,2.0
mp-1193617,2.0
mp-1193632,0.0
mp-1193701,1.0
mp-1193718,1.0
mp-1193752,2.0
mp-1193941,2.0
mp-1194041,0.0
mp-1194267,2.0
mp-1194283,2.0
mp-1194436,1.0
mp-1194694,1.0
mp-1194708,0.0
mp-1194779,1.0
mp-1194948,2.0
mp-1194983,2.0
mp-1195036,1.0
mp-1195153,2.0
mp-1195165,2.0
mp-1195300,2.0
mp-1195498,2.0
mp-1195739,2.0
mp-1195928,1.0
mp-1196031,2.0
mp-1196039,2.0
mp-1196135,2.0
mp-1196166,1.0
mp-1196185,2.0
mp-1196187,2.0
mp-1196314,1.0
mp-1196322,2.4
mp-1196376,2.5
mp-1196587,0.0
mp-1196599,2.0
mp-1196682,2.0
mp-1196726,1.0
mp-1197183,2.0
mp-1197302,2.0
mp-1197502,1.0
mp-1197546,2.0
mp-1197678,2.0
mp-1197738,1.0
mp-1197753,2.0
mp-1197779,2.0
mp-1197914,1.0
mp-1197943,2.0
mp-1198006,2.5
mp-1198047,2.0
mp-1198264,2.0
mp-1198265,0.0
mp-1198405,2.0
mp-1198524,2.0
mp-1198701,2.0
mp-1198809,2.0
mp-1198838,2.0
mp-1198851,0.0
mp-1198901,2.0
mp-1199050,2.0
mp-1199099,2.0
mp-1199182,1.0
mp-1199298,2.0
mp-1199313,2.0
mp-1199396,1.0
mp-1199484,2.0
mp-1199734,0.0
mp-1199822,2.0
mp-1199882,2.0
mp-1199970,2.0
mp-1199983,2.0
mp-1200069,2.0
mp-1200133,2.0
mp-1200177,2.0
mp-1200279,0.0
mp-1200315,2.0
mp-1200529,2.0
mp-1200663,2.0
mp-1200668,2.0
mp-1200769,0.0
mp-1200772,1.67
mp-1200812,1.0
mp-1200865,2.0
mp-1201135,0.0
mp-1201149,2.0
mp-1201234,2.0
mp-1201317,2.0
mp-1201389,1.0
mp-1201390,2.0
mp-1201409,1.0
mp-1201607,1.0
mp-1201655,2.0
mp-1201664,2.0
mp-1201761,2.0
mp-1201766,0.0
mp-1201854,0.0
mp-1202064,2.0
mp-1202099,2.0
mp-1202152,2.0
mp-1202250,1.25
mp-1202347,0.0
mp-1202466,0.0
mp-1202524,2.0
mp-1202570,2.0
mp-1202588,2.2
mp-1202646,1.0
mp-1202851,2.0
mp-1203110,2.0
mp-1203192,2.0
mp-1203611,2.0
mp-1203696,2.0
mp-1203708,1.0
mp-1203872,2.0
mp-1203931,2.0
mp-1203941,2.0
mp-1204058,2.0
mp-1204064,2.33
mp-1204374,0.0
mp-1204438,2.0
mp-1204474,1.0
mp-1204573,1.67
mp-1204584,2.0
mp-1204591,2.0
mp-1204931,2.0
mp-1205239,1.28
mp-1205250,2.0
mp-1205359,2.0
mp-12087,1.0
mp-12118,0.0
mp-12145,2.0
mp-12161,2.0
mp-12185,2.0
mp-12268,2.0
mp-1232413,2.0
mp-1233,0.0
mp-1238498,2.0
mp-1239022,2.0
mp-1239037,0.0
mp-12457,1.0
mp-12546,0.0
mp-12586,0.0
mp-12777,0.0
mp-12794,0.0
mp-12801,0.0
mp-12854,2.0
mp-13045,0.0
mp-13089,2.0
mp-13138,0.0
mp-13287,1.0
mp-13480,1.0
mp-13486,0.0
mp-13589,1.0
mp-14089,1.0
mp-14735,2.0
mp-14824,1.67
mp-14862,2.0
mp-15252,1.5
mp-15335,2.0
mp-15336,2.0
mp-15481,2.0
mp-15895,1.0
mp-15900,1.0
mp-16056,2.0
mp-16115,2.0
mp-16179,1.0
mp-16320,1.0
mp-16366,1.0
mp-16435,2.0
mp-16494,0.0
mp-16496,0.0
mp-16565,2.0
mp-16775,0.0
mp-17119,2.0
mp-17145,2.0
mp-17194,1.0
mp-17262,2.0
mp-17268,2.0
mp-17336,1.0
mp-17388,0.0
mp-17598,2.0
mp-17687,2.0
mp-17691,1.0
mp-17699,2.0
mp-17738,2.0
mp-17801,0.0
mp-17878,2.0
mp-17916,1.0
mp-18124,2.0
mp-18126,1.0
mp-18279,0.0
mp-18444,2.0
mp-18490,2.0
mp-18540,1.0
mp-18576,2.0
mp-1861,1.0
mp-18637,2.0
mp-18713,2.33
mp-1945,0.0
mp-1966,1.0
mp-19735,2.0
mp-19834,0.0
mp-19946,0.0
mp-19968,0.0
mp-19983,0.0
mp-2002,1.0
mp-20083,1.0
mp-20087,2.0
mp-20140,2.0
mp-20203,1.0
mp-20212,2.0
mp-20307,0.0
mp-20324,2.0
mp-20370,1.0
mp-20437,1.67
mp-20476,2.0
mp-20491,0.0
mp-20977,2.0
mp-2103,1.0
mp-21141,1.0
mp-21148,0.0
mp-21360,0.0
mp-21376,2.0
mp-21388,0.0
mp-21458,0.0
mp-21475,0.0
mp-21500,0.0
mp-21560,2.0
mp-21568,2.0
mp-21617,2.0
mp-21684,1.21
mp-21708,0.0
mp-21827,1.5
mp-21861,2.0
mp-21865,0.0
mp-21868,1.67
mp-21964,1.0
mp-22037,2.0
mp-2210,0.0
mp-22196,2.0
mp-22215,1.67
mp-22221,0.0
mp-22237,0.0
mp-22271,2.0
mp-22297,1.0
mp-22301,1.67
mp-22305,1.0
mp-22392,1.0
mp-22407,2.0
mp-22414,2.0
mp-22550,2.0
mp-22601,2.0
mp-22673,0.0
mp-22680,0.0
mp-22685,0.0
mp-22719,2.0
mp-22761,0.0
mp-22810,0.0
mp-22863,1.0
mp-22914,1.0
mp-22917,1.0
mp-22941,1.0
mp-22960,1.0
mp-23095,2.0
mp-23133,2.0
mp-23212,1.0
mp-23227,1.0
mp-2323,0.0
mp-23508,2.0
mp-23733,2.0
mp-23795,2.0
mp-23857,2.0
mp-24038,2.0
mp-24093,1.0
mp-24103,2.0
mp-24164,2.0
mp-24197,2.0
mp-24228,2.0
mp-24559,2.0
mp-27124,1.5
mp-27249,2.0
mp-27548,2.0
mp-27550,2.0
mp-27589,2.0
mp-27719,2.0
mp-28317,1.0
mp-28491,1.0
mp-28656,1.07
mp-28743,2.0
mp-2882,2.0
mp-2918,1.0
mp-29225,1.0
mp-29450,1.0
mp-29476,1.0
mp-29507,2.0
mp-29643,1.0
mp-2977,2.0
mp-29823,1.14
mp-29828,2.0
mp-30449,1.0
mp-30450,0.0
mp-30451,1.0
mp-30471,0.0
mp-30504,0.0
mp-30578,0.0
mp-30582,0.0
mp-30583,0.0
mp-30589,0.0
mp-30590,0.0
mp-30593,0.0
mp-30594,0.0
mp-30597,0.0
mp-30599,0.0
mp-30603,0.0
mp-30696,0.0
mp-30698,0.0
mp-30699,0.0
mp-31145,1.0
mp-3120,2.0
mp-31510,1.0
mp-3179,1.0
mp-3255,2.0
mp-3421,2.0
mp-3648,0.0
mp-36480,2.0
mp-3702,1.0
mp-3736,0.0
mp-4158,2.0
mp-4210,2.0
mp-4320,2.0
mp-4367,0.0
mp-4473,1.0
mp-4552,0.0
