run_id,degree,loss_increase
Ti_coord_identified_material_r0_s113_multiscale,0,0.3414904693896732
Ti_coord_identified_material_r0_s113_multiscale,1,0.057603667686266125
Ti_coord_identified_material_r0_s113_multiscale,2,0.05335388368970062
Ti_coord_identified_material_r1_s113_multiscale,0,0.45357886326290686
Ti_coord_identified_material_r1_s113_multiscale,1,0.04800243905363377
Ti_coord_identified_material_r1_s113_multiscale,2,0.011590613370539682
Ti_md_identified_material_r0_s113_multiscale,0,0.02283938568667492
Ti_md_identified_material_r0_s113_multiscale,1,0.01875638532655199
Ti_md_identified_material_r0_s113_multiscale,2,0.004076331091039387
Ti_md_identified_material_r1_s113_multiscale,0,0.025199031589053872
Ti_md_identified_material_r1_s113_multiscale,1,0.021261058765380578
Ti_md_identified_material_r1_s113_multiscale,2,0.005038068309594522
Ti_bader_identified_material_r0_s113_multiscale,0,0.04753242259461685
Ti_bader_identified_material_r0_s113_multiscale,1,0.024845852679884164
Ti_bader_identified_material_r0_s113_multiscale,2,0.020028482217668925
Ti_bader_identified_material_r1_s113_multiscale,0,0.040730827829739705
Ti_bader_identified_material_r1_s113_multiscale,1,0.02810649176612952
Ti_bader_identified_material_r1_s113_multiscale,2,0.018585653837593405
V_coord_identified_material_r0_s113_multiscale,0,0.4738433655314246
V_coord_identified_material_r0_s113_multiscale,1,0.030704873736550953
V_coord_identified_material_r0_s113_multiscale,2,0.04728816675064207
V_coord_identified_material_r1_s113_multiscale,0,0.4187345990562349
V_coord_identified_material_r1_s113_multiscale,1,0.05928677655945169
V_coord_identified_material_r1_s113_multiscale,2,0.03601502844134663
V_md_identified_material_r0_s113_multiscale,0,0.07220005345894794
V_md_identified_material_r0_s113_multiscale,1,0.028623115390144397
V_md_identified_material_r0_s113_multiscale,2,0.011907644571924787
V_md_identified_material_r1_s113_multiscale,0,0.07041947046718043
V_md_identified_material_r1_s113_multiscale,1,0.03398730368510134
V_md_identified_material_r1_s113_multiscale,2,0.008692745264676142
V_bader_identified_material_r0_s113_multiscale,0,0.12257583409079388
V_bader_identified_material_r0_s113_multiscale,1,0.04228349285773175
V_bader_identified_material_r0_s113_multiscale,2,0.012028247145722634
V_bader_identified_material_r1_s113_multiscale,0,0.11821843863130027
V_bader_identified_material_r1_s113_multiscale,1,0.026274163422366492
V_bader_identified_material_r1_s113_multiscale,2,0.015633580266156855
Cr_coord_identified_material_r0_s113_multiscale,0,0.4791063851767682
Cr_coord_identified_material_r0_s113_multiscale,1,0.009270777431200639
Cr_coord_identified_material_r0_s113_multiscale,2,-0.004790186187285106
Cr_coord_identified_material_r1_s113_multiscale,0,0.4579352955175299
Cr_coord_identified_material_r1_s113_multiscale,1,0.011277990850938502
Cr_coord_identified_material_r1_s113_multiscale,2,-0.002539360330278795
Cr_md_identified_material_r0_s113_multiscale,0,0.09749940204167538
Cr_md_identified_material_r0_s113_multiscale,1,0.032099022991734935
Cr_md_identified_material_r0_s113_multiscale,2,0.01611801669632176
Cr_md_identified_material_r1_s113_multiscale,0,0.09279896675488905
Cr_md_identified_material_r1_s113_multiscale,1,0.03655824935690174
Cr_md_identified_material_r1_s113_multiscale,2,0.019031786132742687
Cr_bader_identified_material_r0_s113_multiscale,0,0.127001007281636
Cr_bader_identified_material_r0_s113_multiscale,1,0.04667221266181577
Cr_bader_identified_material_r0_s113_multiscale,2,0.019102768155633332
