id,fold,role
A_S_008a8c505c38d000,0,train
A_S_0161f1e404703118,0,train
A_S_01dae63a8d8551c6,0,train
A_S_03378055a446a1e0,0,train
A_S_03893b8626861f37,0,train
A_S_0405c4de22006aca,0,train
A_S_05b8f15ca25c65bf,0,validation
A_S_05ed2cef592c88a3,0,train
A_S_067e234cc2d31892,0,train
A_S_06a4eaf08519a276,0,train
A_S_08395c0fdc35a3af,0,train
A_S_086616f7960ff206,0,train
A_S_093e101d57b0db98,0,train
A_S_09681ac6f35265eb,0,train
A_S_0a08d2ca309bb882,0,train
A_S_0aa9ddf0410e4edf,0,train
A_S_0aaee1139c9cfff7,0,train
A_S_0b1b6e6e7efdb6d7,0,train
A_S_0b53bd7b8dd1bd19,0,train
A_S_0bb01cdca5cafb49,0,validation
A_S_0be653716acc4902,0,validation
A_S_0c3e7846470c3162,0,validation
A_S_0c8c1303ed0b2153,0,train
A_S_0cd8c90cd1efb94a,0,train
A_S_0d770f3dc9e0a811,0,train
A_S_0dba479cb2551f3a,0,validation
A_S_0e710160e0144414,0,train
A_S_0ed7bd36748730aa,0,validation
A_S_0fc9c5802c0860aa,0,train
A_S_1005020e78f07dac,0,train
A_S_103e90c305c632e7,0,train
A_S_107880b70b56b88f,0,validation
A_S_110c371288bfafc9,0,train
A_S_124ce673b2bf8235,0,train
A_S_124e54fe831850b2,0,validation
A_S_125bf8f89b687134,0,validation
A_S_13209c8cd6f622e1,0,train
A_S_132b2377331c3710,0,validation
A_S_14edc7edceb719cc,0,validation
A_S_14f4fa0b10adaec3,0,train
A_S_1518dd7d8a3b196d,0,validation
A_S_15228c51dfa4042a,0,validation
A_S_156339aad240951f,0,train
A_S_15a6da8cf31c5423,0,validation
A_S_15bd2ce7160c48d1,0,train
A_S_17829bb4883cdf8a,0,train
A_S_179d7f7a747cb944,0,validation
A_S_17ad92a107662832,0,validation
A_S_18b147639b7e2473,0,train
A_S_18cb3bc817c25a9d,0,train
A_S_19a0a8583aad74bf,0,train
A_S_1a29dd9c9dfcd54e,0,validation
A_S_1a2fd7fb75daf062,0,train
A_S_1a3dfbd8cb68091a,0,train
A_S_1a43b8a57c4320b2,0,validation
A_S_1b12d276b7980492,0,train
A_S_1b144372650ef4a9,0,validation
A_S_1b5ef06e63c42c64,0,train
A_S_1d4e9402a827a898,0,train
A_S_1e0d6dd73f4474cd,0,train
A_S_1f2b00dbc078f5d5,0,train
A_S_1ff860748fa8c347,0,train
A_S_2019a6a28f19953a,0,train
A_S_2032d79555418cff,0,validation
A_S_20b4ab3b26f00f9b,0,train
A_S_2135f0f9b8270497,0,validation
A_S_214252c478288a82,0,train
A_S_22373d251d1dd940,0,train
A_S_2278a1c17044e5b2,0,validation
A_S_23b3d74cee25bf56,0,validation
A_S_23c1257f540b70a3,0,validation
A_S_25a947264da9bb26,0,validation
A_S_2603d3eb7e9bb343,0,train
A_S_269af13526155f64,0,train
A_S_26b0a7dc56ab38ba,0,train
A_S_26d704b038838f27,0,train
A_S_26e75d5143da8c17,0,train
A_S_2798f8344476759e,0,validation
A_S_27a9cf3335c3b001,0,validation
A_S_282cc7e5f92fef92,0,train
A_S_288f565484d6a70f,0,validation
A_S_28ddda2796075b27,0,validation
A_S_28e792bd932b6359,0,train
A_S_28edd9f2d2c15f03,0,validation
A_S_29f05ca00981057d,0,train
A_S_29f40ac242615fc1,0,train
A_S_2a16c9e664f3dbd3,0,train
A_S_2ab54745132f00b1,0,validation
A_S_2aedfbec2b4532a6,0,train
A_S_2ba176c1b7508243,0,train
A_S_2bf870683367c0d0,0,train
A_S_2c2b6797e9494d96,0,train
A_S_2cbe3ee7285b9aea,0,train
A_S_2d27a769e8a0d148,0,validation
A_S_2d92ddf4ee10aac1,0,train
A_S_2da50529b41df253,0,train
A_S_2de54d6121eaf431,0,validation
A_S_2fac081303c8148c,0,validation
A_S_2fde774f146e5b76,0,train
A_S_2fe12d7d50d13a63,0,train
A_S_30d77b1d8c86ae5e,0,train
A_S_317dd5cb31493835,0,train
A_S_327b249f674adcb1,0,train
A_S_34d2fb17648202dd,0,train
A_S_35664879efdd6fff,0,validation
A_S_35754a3fb8f4a0c5,0,train
A_S_3738b6cbe731562b,0,train
A_S_37ff1995da75e0a1,0,train
A_S_392d62ea5b290455,0,train
A_S_3b0f7002f10022f4,0,validation
A_S_3b9fef08a8b26be9,0,train
A_S_3d8761e7addf9c62,0,validation
A_S_3db57c74e63fa729,0,validation
A_S_3f15a87d803e6874,0,train
A_S_4089f3991428e2ed,0,train
A_S_41b77fb67321fc31,0,train
A_S_41c145309e20114b,0,train
A_S_4219d9500600c801,0,train
A_S_43717e04539e15c7,0,train
A_S_43d830a069da6668,0,train
A_S_4456c513c8740534,0,train
A_S_44aafd7a143613eb,0,train
A_S_44fb55f695abe327,0,validation
A_S_4529d021e8621f7b,0,train
A_S_456a6e13839df403,0,train
A_S_45a3b6c49995819b,0,train
A_S_45c90459ce026755,0,train
A_S_46374ce3b9044c64,0,train
A_S_4646680a5b50eb10,0,train
A_S_467a89793092b80a,0,train
A_S_46b2957322e5c7c9,0,train
A_S_46d337e6fe04da01,0,train
A_S_47654d99f6159614,0,train
A_S_4863be0c048b12ad,0,train
A_S_48816b0872bf1681,0,validation
A_S_48965dd438d48d18,0,train
A_S_48f764092f2567ae,0,train
A_S_4989a5884300fa7f,0,train
A_S_4a67a1d4ef7042f5,0,train
A_S_4a78b33e0a03b402,0,validation
A_S_4acec7d5fcff2dda,0,train
A_S_4b36d06827739e2b,0,train
A_S_4b45f72224394626,0,train
A_S_4c7ac429bdd944a9,0,validation
A_S_4d245a6ec3b4d285,0,validation
A_S_4ece97573673efa0,0,train
A_S_509b9007a8d1c7a2,0,train
A_S_512f95bf50846f42,0,train
A_S_51c47dfd25162f5f,0,train
A_S_51d51038d14c9b17,0,validation
A_S_53ed7e1a6b963b33,0,train
A_S_540645062d5c128d,0,validation
A_S_550ac0537a2ac9ed,0,train
A_S_5629ae2696b6636e,0,train
A_S_5662416155b96efd,0,train
A_S_566830f5c8b305cb,0,train
A_S_57901577409f0d13,0,train
A_S_57deb72690d073b8,0,validation
A_S_5986a9df04bed3f2,0,validation
A_S_59913200274d2465,0,train
A_S_5a5236e0ade1341a,0,train
A_S_5a770d482f914679,0,train
A_S_5b2c50da22d33c3f,0,train
A_S_5ba140e93f45fd92,0,validation
A_S_5ce9b095eedaf98a,0,train
A_S_5d7ef9c284883b9e,0,train
A_S_5dcdef93b5385179,0,train
A_S_607b8c507c1ccf22,0,train
A_S_61d7f7a2a593ff5c,0,train
A_S_61eba52dd59b9ea1,0,train
A_S_63a0176c9e23034a,0,validation
A_S_63ff92539e6ff93e,0,validation
A_S_64103ce069bbeed4,0,train
A_S_652941ad1380df19,0,train
A_S_65c4003a52e8e5a1,0,train
A_S_65eab40f2d31c0fe,0,validation
A_S_66bdeb5528e3dd6e,0,train
A_S_670e60283594e21f,0,train
A_S_6751613dfdb3b1f1,0,train
A_S_676e4e6e9c03f630,0,train
A_S_684417753d3a9226,0,train
A_S_686e1e7b10a88d9a,0,train
A_S_6875e5cd5dee75c4,0,train
A_S_689d4962b46f454a,0,train
A_S_68b752e8803964e3,0,train
