feature,Li_descriptor,material_fixed_effects,slope_eV_per_Li,ci025,ci975
onset_e,li_cn_2p8,False,0.09429655019017937,0.017730732407441316,0.15017178554098798
onset_e,li_cn_2p8,True,0.0534792448735004,-0.015415828900789469,0.10471432319622634
onset_e,li_cn,False,0.09532326867795742,0.02701176721728522,0.14819161762210814
onset_e,li_cn,True,0.05087764536576532,-0.0051032749168470285,0.09113994416445455
onset_e,li_cn_3p2,False,0.11553418756189937,0.05935165395875256,0.16585141136614362
onset_e,li_cn_3p2,True,0.06909339224876414,0.02074877064017934,0.11581732185392148
peak_e,li_cn_2p8,False,0.09897748879649819,0.027500629234335477,0.14572576976746968
peak_e,li_cn_2p8,True,0.07427906402114189,-0.015009345472197984,0.15928257610143978
peak_e,li_cn,False,0.09600397344036604,0.016464785994572413,0.16422902979254772
peak_e,li_cn,True,0.05990667971871068,-0.034825322245904844,0.121057151344712
peak_e,li_cn_3p2,False,0.11841098427648329,0.05281657216511962,0.17810719899441954
peak_e,li_cn_3p2,True,0.08415296036922155,0.006599585352162058,0.15626931811874947
centroid_e,li_cn_2p8,False,0.23138233331693314,0.20316919778112955,0.2516276004175871
centroid_e,li_cn_2p8,True,0.20415296708174344,0.18386791381383555,0.22016021228142701
centroid_e,li_cn,False,0.2321005492518091,0.20484541229102582,0.2515377472535816
centroid_e,li_cn,True,0.20957805102696594,0.19128493107208966,0.22181070176232515
centroid_e,li_cn_3p2,False,0.2373063808771385,0.2081505304539877,0.25952421920532465
centroid_e,li_cn_3p2,True,0.21060394465871657,0.19254202296780737,0.23000810151315546
