method,representation,condition,fold,chemistry,group,metric,value,n
NNLS,Combined,baseline,0,Li-La-Zr-O,10,exact_match,0.0,12
NNLS,Combined,baseline,0,Li-La-Zr-O,10,micro_f1,0.5853658536585366,12
NNLS,Combined,baseline,0,Li-La-Zr-O,10,minor_recall,0.08333333333333333,12
NNLS,Combined,baseline,0,Li-La-Zr-O,12,exact_match,0.16666666666666666,12
NNLS,Combined,baseline,0,Li-La-Zr-O,12,micro_f1,0.6976744186046512,12
NNLS,Combined,baseline,0,Li-La-Zr-O,12,minor_recall,0.25,12
NNLS,Combined,baseline,0,Li-La-Zr-O,14,exact_match,0.25,12
NNLS,Combined,baseline,0,Li-La-Zr-O,14,micro_f1,0.7272727272727273,12
NNLS,Combined,baseline,0,Li-La-Zr-O,14,minor_recall,0.3333333333333333,12
NNLS,Combined,baseline,0,Li-La-Zr-O,16,exact_match,0.3333333333333333,12
NNLS,Combined,baseline,0,Li-La-Zr-O,16,micro_f1,0.7727272727272727,12
NNLS,Combined,baseline,0,Li-La-Zr-O,16,minor_recall,0.4166666666666667,12
NNLS,Combined,baseline,0,Li-La-Zr-O,18,exact_match,0.25,12
NNLS,Combined,baseline,0,Li-La-Zr-O,18,micro_f1,0.782608695652174,12
NNLS,Combined,baseline,0,Li-La-Zr-O,18,minor_recall,0.5,12
NNLS,Combined,baseline,0,Li-La-Zr-O,2,exact_match,0.0,12
NNLS,Combined,baseline,0,Li-La-Zr-O,2,micro_f1,0.5853658536585366,12
NNLS,Combined,baseline,0,Li-La-Zr-O,2,minor_recall,0.0,12
NNLS,Combined,baseline,0,Li-La-Zr-O,20,exact_match,0.3333333333333333,12
NNLS,Combined,baseline,0,Li-La-Zr-O,20,micro_f1,0.8,12
NNLS,Combined,baseline,0,Li-La-Zr-O,20,minor_recall,0.5,12
NNLS,Combined,baseline,0,Li-La-Zr-O,4,exact_match,0.0,12
NNLS,Combined,baseline,0,Li-La-Zr-O,4,micro_f1,0.6153846153846154,12
NNLS,Combined,baseline,0,Li-La-Zr-O,4,minor_recall,0.0,12
NNLS,Combined,baseline,0,Li-La-Zr-O,6,exact_match,0.0,12
NNLS,Combined,baseline,0,Li-La-Zr-O,6,micro_f1,0.6190476190476191,12
NNLS,Combined,baseline,0,Li-La-Zr-O,6,minor_recall,0.08333333333333333,12
NNLS,Combined,baseline,0,Li-La-Zr-O,8,exact_match,0.0,12
NNLS,Combined,baseline,0,Li-La-Zr-O,8,micro_f1,0.6190476190476191,12
NNLS,Combined,baseline,0,Li-La-Zr-O,8,minor_recall,0.08333333333333333,12
NNLS,Combined,baseline,0,Li-Ti-P-O,10,exact_match,0.08333333333333333,12
NNLS,Combined,baseline,0,Li-Ti-P-O,10,micro_f1,0.5306122448979592,12
NNLS,Combined,baseline,0,Li-Ti-P-O,10,minor_recall,0.08333333333333333,12
NNLS,Combined,baseline,0,Li-Ti-P-O,12,exact_match,0.08333333333333333,12
NNLS,Combined,baseline,0,Li-Ti-P-O,12,micro_f1,0.6363636363636364,12
NNLS,Combined,baseline,0,Li-Ti-P-O,12,minor_recall,0.16666666666666666,12
NNLS,Combined,baseline,0,Li-Ti-P-O,14,exact_match,0.16666666666666666,12
NNLS,Combined,baseline,0,Li-Ti-P-O,14,micro_f1,0.6818181818181818,12
NNLS,Combined,baseline,0,Li-Ti-P-O,14,minor_recall,0.25,12
NNLS,Combined,baseline,0,Li-Ti-P-O,16,exact_match,0.3333333333333333,12
NNLS,Combined,baseline,0,Li-Ti-P-O,16,micro_f1,0.723404255319149,12
NNLS,Combined,baseline,0,Li-Ti-P-O,16,minor_recall,0.4166666666666667,12
NNLS,Combined,baseline,0,Li-Ti-P-O,18,exact_match,0.3333333333333333,12
NNLS,Combined,baseline,0,Li-Ti-P-O,18,micro_f1,0.723404255319149,12
NNLS,Combined,baseline,0,Li-Ti-P-O,18,minor_recall,0.4166666666666667,12
NNLS,Combined,baseline,0,Li-Ti-P-O,2,exact_match,0.0,12
NNLS,Combined,baseline,0,Li-Ti-P-O,2,micro_f1,0.5,12
NNLS,Combined,baseline,0,Li-Ti-P-O,2,minor_recall,0.0,12
NNLS,Combined,baseline,0,Li-Ti-P-O,20,exact_match,0.4166666666666667,12
NNLS,Combined,baseline,0,Li-Ti-P-O,20,micro_f1,0.7346938775510204,12
NNLS,Combined,baseline,0,Li-Ti-P-O,20,minor_recall,0.5,12
NNLS,Combined,baseline,0,Li-Ti-P-O,4,exact_match,0.0,12
NNLS,Combined,baseline,0,Li-Ti-P-O,4,micro_f1,0.5333333333333333,12
