run_id,region,threshold,count,mae,bias,mean_baseline_mae
Ti_alternative,short,1.9527548370245136,58,0.030062932895440576,0.0288759155614885,0.10347417032575709
Ti_alternative,long,2.067174183578337,68,0.0395659223488121,-0.02106329209818108,0.14413969535380414
V_alternative,short,1.7530063468163877,112,0.00916488377576054,0.008794339346285707,0.21187478752025987
V_alternative,long,2.080363900490569,118,0.037114864455343274,-0.02886857549305839,0.1953188605678966
Cr_alternative,short,1.6750841229104927,27,0.00621715436474418,0.006206406220636724,0.28326822066312435
Cr_alternative,long,2.122506712491514,33,0.06082023233209705,-0.03758153593261859,0.27820474367984815
Mn_alternative,short,1.9514884985263505,146,0.022217791426607424,0.020100418766347092,0.16640258042391418
Mn_alternative,long,2.213715881225525,135,0.041932553402861714,-0.03453627749054633,0.18545520059727247
Fe_alternative,short,1.9381039963391367,104,0.0284869035925132,0.02552078926379716,0.15665654932131812
Fe_alternative,long,2.151615240339289,111,0.02987277569998014,-0.02346861556670384,0.14203509377438014
Co_alternative,short,1.8801451961197284,77,0.0371269356230149,0.03624778653810174,0.16432934483810063
Co_alternative,long,2.1425649037729464,50,0.04475188055736578,-0.04087477092614798,0.1897177706559287
Ni_alternative,short,1.9039524142319793,67,0.013000976788406773,0.010460820581519537,0.15262235490190756
Ni_alternative,long,2.116167990887956,58,0.04430497030203868,-0.0423630145486332,0.12648436098139865
Cu_alternative,short,1.8864722142374721,48,0.10891560340628222,0.1080804593341163,0.22429448557625142
Cu_alternative,long,2.2186457074633363,69,0.16189002217700607,-0.16058695799979164,0.2411110095330086
