run_id,source_row,role
Ti_md_identified_material_r0_s113_model,0,train
Ti_md_identified_material_r0_s113_model,1,train
Ti_md_identified_material_r0_s113_model,2,test
Ti_md_identified_material_r0_s113_model,3,train
Ti_md_identified_material_r0_s113_model,4,train
Ti_md_identified_material_r0_s113_model,5,train
Ti_md_identified_material_r0_s113_model,6,train
Ti_md_identified_material_r0_s113_model,7,train
Ti_md_identified_material_r0_s113_model,8,test
Ti_md_identified_material_r0_s113_model,9,test
Ti_md_identified_material_r0_s113_model,10,test
Ti_md_identified_material_r0_s113_model,11,train
Ti_md_identified_material_r0_s113_model,12,train
Ti_md_identified_material_r0_s113_model,13,train
Ti_md_identified_material_r0_s113_model,14,train
Ti_md_identified_material_r0_s113_model,15,train
Ti_md_identified_material_r0_s113_model,16,train
Ti_md_identified_material_r0_s113_model,17,train
Ti_md_identified_material_r0_s113_model,18,train
Ti_md_identified_material_r0_s113_model,19,train
Ti_md_identified_material_r0_s113_model,20,train
Ti_md_identified_material_r0_s113_model,21,train
Ti_md_identified_material_r0_s113_model,22,train
Ti_md_identified_material_r0_s113_model,23,train
Ti_md_identified_material_r0_s113_model,24,train
Ti_md_identified_material_r0_s113_model,25,train
Ti_md_identified_material_r0_s113_model,26,train
Ti_md_identified_material_r0_s113_model,27,train
Ti_md_identified_material_r0_s113_model,28,train
Ti_md_identified_material_r0_s113_model,29,train
Ti_md_identified_material_r0_s113_model,30,train
Ti_md_identified_material_r0_s113_model,31,train
Ti_md_identified_material_r0_s113_model,32,train
Ti_md_identified_material_r0_s113_model,33,train
Ti_md_identified_material_r0_s113_model,34,train
Ti_md_identified_material_r0_s113_model,35,train
Ti_md_identified_material_r0_s113_model,36,train
Ti_md_identified_material_r0_s113_model,37,train
Ti_md_identified_material_r0_s113_model,38,train
Ti_md_identified_material_r0_s113_model,39,train
Ti_md_identified_material_r0_s113_model,40,train
Ti_md_identified_material_r0_s113_model,41,train
Ti_md_identified_material_r0_s113_model,42,train
Ti_md_identified_material_r0_s113_model,43,train
Ti_md_identified_material_r0_s113_model,44,train
Ti_md_identified_material_r0_s113_model,45,train
Ti_md_identified_material_r0_s113_model,46,train
Ti_md_identified_material_r0_s113_model,47,train
Ti_md_identified_material_r0_s113_model,48,train
Ti_md_identified_material_r0_s113_model,49,train
Ti_md_identified_material_r0_s113_model,50,train
Ti_md_identified_material_r0_s113_model,51,train
Ti_md_identified_material_r0_s113_model,52,train
Ti_md_identified_material_r0_s113_model,53,train
Ti_md_identified_material_r0_s113_model,54,train
Ti_md_identified_material_r0_s113_model,55,train
Ti_md_identified_material_r0_s113_model,56,train
Ti_md_identified_material_r0_s113_model,57,train
Ti_md_identified_material_r0_s113_model,58,train
Ti_md_identified_material_r0_s113_model,59,train
Ti_md_identified_material_r0_s113_model,60,train
Ti_md_identified_material_r0_s113_model,61,train
Ti_md_identified_material_r0_s113_model,62,train
Ti_md_identified_material_r0_s113_model,63,train
Ti_md_identified_material_r0_s113_model,64,train
Ti_md_identified_material_r0_s113_model,65,train
Ti_md_identified_material_r0_s113_model,66,train
Ti_md_identified_material_r0_s113_model,67,train
Ti_md_identified_material_r0_s113_model,68,train
Ti_md_identified_material_r0_s113_model,69,train
Ti_md_identified_material_r0_s113_model,70,train
Ti_md_identified_material_r0_s113_model,71,train
Ti_md_identified_material_r0_s113_model,72,train
Ti_md_identified_material_r0_s113_model,73,train
Ti_md_identified_material_r0_s113_model,74,train
Ti_md_identified_material_r0_s113_model,75,train
Ti_md_identified_material_r0_s113_model,76,train
Ti_md_identified_material_r0_s113_model,77,train
Ti_md_identified_material_r0_s113_model,78,train
Ti_md_identified_material_r0_s113_model,79,train
Ti_md_identified_material_r0_s113_model,80,train
Ti_md_identified_material_r0_s113_model,81,test
Ti_md_identified_material_r0_s113_model,82,excluded
Ti_md_identified_material_r0_s113_model,83,train
Ti_md_identified_material_r0_s113_model,84,train
Ti_md_identified_material_r0_s113_model,85,train
Ti_md_identified_material_r0_s113_model,86,train
Ti_md_identified_material_r0_s113_model,87,train
Ti_md_identified_material_r0_s113_model,88,train
Ti_md_identified_material_r0_s113_model,89,test
Ti_md_identified_material_r0_s113_model,90,test
Ti_md_identified_material_r0_s113_model,91,test
Ti_md_identified_material_r0_s113_model,92,test
Ti_md_identified_material_r0_s113_model,93,test
Ti_md_identified_material_r0_s113_model,94,test
Ti_md_identified_material_r0_s113_model,95,test
Ti_md_identified_material_r0_s113_model,96,test
Ti_md_identified_material_r0_s113_model,97,test
Ti_md_identified_material_r0_s113_model,98,train
Ti_md_identified_material_r0_s113_model,99,train
Ti_md_identified_material_r0_s113_model,100,train
Ti_md_identified_material_r0_s113_model,101,train
Ti_md_identified_material_r0_s113_model,102,train
Ti_md_identified_material_r0_s113_model,103,train
Ti_md_identified_material_r0_s113_model,104,train
Ti_md_identified_material_r0_s113_model,105,train
Ti_md_identified_material_r0_s113_model,106,train
Ti_md_identified_material_r0_s113_model,107,train
Ti_md_identified_material_r0_s113_model,108,train
Ti_md_identified_material_r0_s113_model,109,validation
Ti_md_identified_material_r0_s113_model,110,train
Ti_md_identified_material_r0_s113_model,111,train
Ti_md_identified_material_r0_s113_model,112,train
Ti_md_identified_material_r0_s113_model,113,train
Ti_md_identified_material_r0_s113_model,114,train
Ti_md_identified_material_r0_s113_model,115,train
Ti_md_identified_material_r0_s113_model,116,train
Ti_md_identified_material_r0_s113_model,117,train
Ti_md_identified_material_r0_s113_model,118,train
Ti_md_identified_material_r0_s113_model,119,train
Ti_md_identified_material_r0_s113_model,120,validation
Ti_md_identified_material_r0_s113_model,121,validation
Ti_md_identified_material_r0_s113_model,122,validation
Ti_md_identified_material_r0_s113_model,123,validation
Ti_md_identified_material_r0_s113_model,124,validation
Ti_md_identified_material_r0_s113_model,125,validation
Ti_md_identified_material_r0_s113_model,126,validation
Ti_md_identified_material_r0_s113_model,127,validation
Ti_md_identified_material_r0_s113_model,128,validation
Ti_md_identified_material_r0_s113_model,129,test
Ti_md_identified_material_r0_s113_model,130,train
Ti_md_identified_material_r0_s113_model,131,train
Ti_md_identified_material_r0_s113_model,132,train
Ti_md_identified_material_r0_s113_model,133,test
Ti_md_identified_material_r0_s113_model,134,train
Ti_md_identified_material_r0_s113_model,135,train
Ti_md_identified_material_r0_s113_model,136,train
Ti_md_identified_material_r0_s113_model,137,train
Ti_md_identified_material_r0_s113_model,138,train
Ti_md_identified_material_r0_s113_model,139,test
Ti_md_identified_material_r0_s113_model,140,train
Ti_md_identified_material_r0_s113_model,141,train
Ti_md_identified_material_r0_s113_model,142,train
Ti_md_identified_material_r0_s113_model,143,train
Ti_md_identified_material_r0_s113_model,144,train
Ti_md_identified_material_r0_s113_model,145,train
Ti_md_identified_material_r0_s113_model,146,train
Ti_md_identified_material_r0_s113_model,147,train
Ti_md_identified_material_r0_s113_model,148,train
Ti_md_identified_material_r0_s113_model,149,test
Ti_md_identified_material_r0_s113_model,150,test
Ti_md_identified_material_r0_s113_model,151,test
Ti_md_identified_material_r0_s113_model,152,test
Ti_md_identified_material_r0_s113_model,153,train
Ti_md_identified_material_r0_s113_model,154,train
Ti_md_identified_material_r0_s113_model,155,train
Ti_md_identified_material_r0_s113_model,156,test
Ti_md_identified_material_r0_s113_model,157,test
Ti_md_identified_material_r0_s113_model,158,test
Ti_md_identified_material_r0_s113_model,159,test
Ti_md_identified_material_r0_s113_model,160,test
Ti_md_identified_material_r0_s113_model,161,test
Ti_md_identified_material_r0_s113_model,162,train
Ti_md_identified_material_r0_s113_model,163,train
Ti_md_identified_material_r0_s113_model,164,train
Ti_md_identified_material_r0_s113_model,165,train
Ti_md_identified_material_r0_s113_model,166,train
Ti_md_identified_material_r0_s113_model,167,train
Ti_md_identified_material_r0_s113_model,168,train
Ti_md_identified_material_r0_s113_model,169,train
Ti_md_identified_material_r0_s113_model,170,validation
Ti_md_identified_material_r0_s113_model,171,validation
Ti_md_identified_material_r0_s113_model,172,validation
Ti_md_identified_material_r0_s113_model,173,validation
Ti_md_identified_material_r0_s113_model,174,train
Ti_md_identified_material_r0_s113_model,175,train
Ti_md_identified_material_r0_s113_model,176,train
Ti_md_identified_material_r0_s113_model,177,train
Ti_md_identified_material_r0_s113_model,178,train
Ti_md_identified_material_r0_s113_model,179,train
Ti_md_identified_material_r0_s113_model,180,train
Ti_md_identified_material_r0_s113_model,181,train
Ti_md_identified_material_r0_s113_model,182,train
Ti_md_identified_material_r0_s113_model,183,train
Ti_md_identified_material_r0_s113_model,184,test
Ti_md_identified_material_r0_s113_model,185,train
Ti_md_identified_material_r0_s113_model,186,train
Ti_md_identified_material_r0_s113_model,187,train
Ti_md_identified_material_r0_s113_model,188,validation
Ti_md_identified_material_r0_s113_model,189,train
Ti_md_identified_material_r0_s113_model,190,train
Ti_md_identified_material_r0_s113_model,191,validation
Ti_md_identified_material_r0_s113_model,192,train
Ti_md_identified_material_r0_s113_model,193,train
Ti_md_identified_material_r0_s113_model,194,train
Ti_md_identified_material_r0_s113_model,195,train
Ti_md_identified_material_r0_s113_model,196,train
Ti_md_identified_material_r0_s113_model,197,train
Ti_md_identified_material_r0_s113_model,198,train
Ti_md_identified_material_r0_s113_model,199,train
Ti_md_identified_material_r0_s113_model,200,train
Ti_md_identified_material_r0_s113_model,201,train
Ti_md_identified_material_r0_s113_model,202,train
Ti_md_identified_material_r0_s113_model,203,train
Ti_md_identified_material_r0_s113_model,204,train
Ti_md_identified_material_r0_s113_model,205,train
Ti_md_identified_material_r0_s113_model,206,train
Ti_md_identified_material_r0_s113_model,207,test
Ti_md_identified_material_r0_s113_model,208,test
Ti_md_identified_material_r0_s113_model,209,test
Ti_md_identified_material_r0_s113_model,210,test
Ti_md_identified_material_r0_s113_model,211,test
Ti_md_identified_material_r0_s113_model,212,test
Ti_md_identified_material_r0_s113_model,213,test
Ti_md_identified_material_r0_s113_model,214,test
Ti_md_identified_material_r0_s113_model,215,train
Ti_md_identified_material_r0_s113_model,216,train
Ti_md_identified_material_r0_s113_model,217,validation
Ti_md_identified_material_r0_s113_model,218,validation
Ti_md_identified_material_r0_s113_model,219,validation
Ti_md_identified_material_r0_s113_model,220,excluded
Ti_md_identified_material_r0_s113_model,221,excluded
Ti_md_identified_material_r0_s113_model,222,excluded
Ti_md_identified_material_r0_s113_model,223,excluded
Ti_md_identified_material_r0_s113_model,224,test
Ti_md_identified_material_r0_s113_model,225,test
Ti_md_identified_material_r0_s113_model,226,excluded
Ti_md_identified_material_r0_s113_model,227,train
Ti_md_identified_material_r0_s113_model,228,validation
Ti_md_identified_material_r0_s113_model,229,train
Ti_md_identified_material_r0_s113_model,230,excluded
Ti_md_identified_material_r0_s113_model,231,train
Ti_md_identified_material_r0_s113_model,232,train
Ti_md_identified_material_r0_s113_model,233,excluded
Ti_md_identified_material_r0_s113_model,234,excluded
Ti_md_identified_material_r0_s113_model,235,excluded
Ti_md_identified_material_r0_s113_model,236,excluded
Ti_md_identified_material_r0_s113_model,237,train
Ti_md_identified_material_r0_s113_model,238,train
Ti_md_identified_material_r0_s113_model,239,train
Ti_md_identified_material_r0_s113_model,240,validation
Ti_md_identified_material_r0_s113_model,241,validation
Ti_md_identified_material_r0_s113_model,242,validation
Ti_md_identified_material_r0_s113_model,243,validation
Ti_md_identified_material_r0_s113_model,244,validation
Ti_md_identified_material_r0_s113_model,245,validation
Ti_md_identified_material_r0_s113_model,246,validation
Ti_md_identified_material_r0_s113_model,247,validation
Ti_md_identified_material_r0_s113_model,248,validation
Ti_md_identified_material_r0_s113_model,249,validation
Ti_md_identified_material_r0_s113_model,250,validation
Ti_md_identified_material_r0_s113_model,251,validation
Ti_md_identified_material_r0_s113_model,252,validation
Ti_md_identified_material_r0_s113_model,253,validation
Ti_md_identified_material_r0_s113_model,254,validation
Ti_md_identified_material_r0_s113_model,255,validation
Ti_md_identified_material_r0_s113_model,256,train
Ti_md_identified_material_r0_s113_model,257,train
Ti_md_identified_material_r0_s113_model,258,train
Ti_md_identified_material_r0_s113_model,259,train
Ti_md_identified_material_r0_s113_model,260,train
Ti_md_identified_material_r0_s113_model,261,train
Ti_md_identified_material_r0_s113_model,262,train
Ti_md_identified_material_r0_s113_model,263,train
Ti_md_identified_material_r0_s113_model,264,train
Ti_md_identified_material_r0_s113_model,265,train
Ti_md_identified_material_r0_s113_model,266,train
Ti_md_identified_material_r0_s113_model,267,train
Ti_md_identified_material_r0_s113_model,268,train
Ti_md_identified_material_r0_s113_model,269,train
Ti_md_identified_material_r0_s113_model,270,train
Ti_md_identified_material_r0_s113_model,271,train
Ti_md_identified_material_r0_s113_model,272,train
Ti_md_identified_material_r0_s113_model,273,train
Ti_md_identified_material_r0_s113_model,274,train
Ti_md_identified_material_r0_s113_model,275,train
Ti_md_identified_material_r0_s113_model,276,train
Ti_md_identified_material_r0_s113_model,277,train
Ti_md_identified_material_r0_s113_model,278,train
Ti_md_identified_material_r0_s113_model,279,test
Ti_md_identified_material_r0_s113_model,280,validation
Ti_md_identified_material_r0_s113_model,281,validation
Ti_md_identified_material_r0_s113_model,282,train
Ti_md_identified_material_r0_s113_model,283,train
Ti_md_identified_material_r0_s113_model,284,train
Ti_md_identified_material_r0_s113_model,285,train
Ti_md_identified_material_r0_s113_model,286,excluded
Ti_md_identified_material_r0_s113_model,287,excluded
Ti_md_identified_material_r0_s113_model,288,excluded
