material_id,energy_eV,intensity
mp-10092,933.0,0.04649283458275886
mp-10092,933.1,0.04829645531248924
mp-10092,933.2,0.050100076056135506
mp-10092,933.3,0.052087976594617356
mp-10092,933.4,0.05472923272855166
mp-10092,933.5,0.057370488892163604
mp-10092,933.6,0.06001174509340277
mp-10092,933.7,0.06276090085893359
mp-10092,933.8,0.06675090112818771
mp-10092,933.9,0.07074090147115888
mp-10092,934.0,0.07473090190527128
mp-10092,934.1,0.07969903872906045
mp-10092,934.2,0.08601793531138062
mp-10092,934.3,0.09233683206056066
mp-10092,934.4,0.09971443787295801
mp-10092,934.5,0.11026817051231307
mp-10092,934.6,0.12082190344444367
mp-10092,934.7,0.1358516371338129
mp-10092,934.8,0.15425800312632504
mp-10092,934.9,0.17776453271558948
mp-10092,935.0,0.20995512438763722
mp-10092,935.1,0.2522388726321537
mp-10092,935.2,0.30790401756953917
mp-10092,935.3,0.36842573345598384
mp-10092,935.4,0.4223667604503406
mp-10092,935.5,0.46683579873425757
mp-10092,935.6,0.5050004085149803
mp-10092,935.7,0.5426897582003111
mp-10092,935.8,0.5847612559555113
mp-10092,935.9,0.6335967243584474
mp-10092,936.0,0.690633741934473
mp-10092,936.1,0.758860004563909
mp-10092,936.2,0.8320397958563747
mp-10092,936.3,0.906738071243371
mp-10092,936.4,0.9779844461271775
mp-10092,936.5,1.048752920518674
mp-10092,936.6,1.1190975976242745
mp-10092,936.7,1.2004436408136911
mp-10092,936.8,1.2852638049498928
mp-10092,936.9,1.3785292913522336
mp-10092,937.0,1.4730567306199078
mp-10092,937.1,1.550272236904315
mp-10092,937.2,1.6246695316756812
mp-10092,937.3,1.6690496584146837
mp-10092,937.4,1.7017564517113375
mp-10092,937.5,1.7148729769844968
mp-10092,937.6,1.7058983487403114
mp-10092,937.7,1.6947449121475862
mp-10092,937.8,1.661561117229897
mp-10092,937.9,1.6283773476760015
mp-10092,938.0,1.5931943799773334
mp-10092,938.1,1.5566221505777345
mp-10092,938.2,1.5200499555882956
mp-10092,938.3,1.489353981523091
mp-10092,938.4,1.4588397869801806
mp-10092,938.5,1.4295170624666582
mp-10092,938.6,1.4041830686470065
mp-10092,938.7,1.3788491306530808
mp-10092,938.8,1.3550431637052274
mp-10092,938.9,1.3339535479842008
mp-10092,939.0,1.3128640058976733
mp-10092,939.1,1.2933331647710664
mp-10092,939.2,1.276456278872295
mp-10092,939.3,1.2595794892025265
mp-10092,939.4,1.243631345644035
mp-10092,939.5,1.2303260874015503
mp-10092,939.6,1.2170209538310022
mp-10092,939.7,1.2037486136565707
mp-10092,939.8,1.1915323543423058
mp-10092,939.9,1.1793162552438559
mp-10092,940.0,1.1671003300342275
mp-10092,940.1,1.154374328697195
mp-10092,940.2,1.1414084071248536
mp-10092,940.3,1.1284427067789724
mp-10092,940.4,1.1156438387066112
mp-10092,940.5,1.1034719361320033
mp-10092,940.6,1.0913003130353187
mp-10092,940.7,1.079128991611219
mp-10092,940.8,1.0673779445063427
mp-10092,940.9,1.0558957400697606
mp-10092,941.0,1.0444139134142962
mp-10092,941.1,1.0329324933961728
mp-10092,941.2,1.018678230708169
mp-10092,941.3,1.0040816732560809
mp-10092,941.4,0.989485620907877
mp-10092,941.5,0.9748079556813231
mp-10092,941.6,0.9585699244967035
mp-10092,941.7,0.942332517146031
mp-10092,941.8,0.9260957782960874
mp-10092,941.9,0.9103828323490882
mp-10092,942.0,0.8999595419817839
mp-10092,942.1,0.8895370713499512
mp-10092,942.2,0.879115477119301
mp-10092,942.3,0.868694819354026
mp-10092,942.4,0.8645189025207763
mp-10092,942.5,0.8603440531760883
mp-10092,942.6,0.8561703426477927
mp-10092,942.7,0.8519978463996951
mp-10092,942.8,0.8492362885773044
mp-10092,942.9,0.8468285202799232
mp-10092,943.0,0.8444222195507051
mp-10092,943.1,0.8420174805206764
mp-10092,943.2,0.8400276174101721
