energy_eV,intensity
934.2,0.06382753335231034
934.3,0.06711102118449175
934.4,0.07039450903683153
934.5,0.07367799691517228
934.6,0.07779099452588323
934.7,0.08290264419072055
934.8,0.08801429390893466
934.9,0.09312594369408238
935.0,0.09970026188788157
935.1,0.10803365666393185
935.2,0.11636705156736743
935.3,0.12597273922548896
935.4,0.13865755068287128
935.5,0.15303037252561003
935.6,0.17073540403239124
935.7,0.19203039129711613
935.8,0.2226945578626089
935.9,0.25492959234480084
936.0,0.30668836497017044
936.1,0.3679030034340504
936.2,0.44730875115471036
936.3,0.5388770177049703
936.4,0.6583010282952919
936.5,0.7985875863754817
936.6,0.9421146307692603
936.7,1.0643021602612515
936.8,1.1562571504093277
936.9,1.2241190620826816
937.0,1.278358815604647
937.1,1.323375805904691
937.2,1.3659430089658933
937.3,1.408337200346631
937.4,1.4514001385714852
937.5,1.4959474662430234
937.6,1.5420414375290559
937.7,1.5887481830913321
937.8,1.6369064269598117
937.9,1.68445162750589
938.0,1.7359955343594131
938.1,1.7876527434588494
938.2,1.8469058904406523
938.3,1.9065662380715098
938.4,1.9703005776043883
938.5,2.0337164507697016
938.6,2.074572368254164
938.7,2.1098491826962813
938.8,2.1150590553206903
938.9,2.094855649636842
939.0,2.0635308739683174
939.1,2.0031733239314984
939.2,1.9422152058107178
939.3,1.8625574020153264
939.4,1.7772750545523595
939.5,1.6922726940825679
939.6,1.6096055210535525
939.7,1.5260058250371444
939.8,1.4440820279335063
939.9,1.36477463771989
940.0,1.2892662579031238
940.1,1.2132333663469987
940.2,1.1361347312998502
940.3,1.0637530406530993
940.4,0.9964824024680854
940.5,0.9317863711677472
940.6,0.8696232362279379
940.7,0.8178444378152141
940.8,0.7751613414790276
940.9,0.7329508449918805
941.0,0.6982623706021176
941.1,0.678171456485372
941.2,0.6580807727759885
941.3,0.6399080973678327
941.4,0.6358591310229265
941.5,0.6337732338217021
941.6,0.6318525419766925
941.7,0.6373518739885399
941.8,0.6501062183272872
941.9,0.662860961833604
942.0,0.6765814621965256
942.1,0.7016033290212785
942.2,0.7289824538799574
942.3,0.7563621164225823
942.4,0.7858157803141845
942.5,0.8267459000895143
942.6,0.8676766874312605
942.7,0.9086081913476112
942.8,0.9497518097782397
942.9,0.992071244159912
943.0,1.034391561545994
943.1,1.0767128244696171
943.2,1.1127466088577758
943.3,1.135170569212992
943.4,1.157595686568253
943.5,1.1800220400633181
943.6,1.1981195679507048
943.7,1.199921269827894
943.8,1.2017244744079632
943.9,1.2035292810833482
944.0,1.205335794952974
944.1,1.2007740973737537
944.2,1.1960270539774647
944.3,1.1912820701537759
944.4,1.1865392767279013
944.5,1.1813324162208125
944.6,1.175563430542186
944.7,1.169797072398036
944.8,1.1640335035602045
944.9,1.1577518982516992
945.0,1.1489646410651002
945.1,1.1401197283247817
945.2,1.1312783424897819
945.3,1.1224406926685102
945.4,1.1120308231214113
945.5,1.100990848106857
945.6,1.0899553029594022
945.7,1.0789244427708293
945.8,1.0678985353965198
945.9,1.0558400598133464
946.0,1.0441557423858605
946.1,1.032477263452804
946.2,1.0208049475543417
946.3,1.0090700196888125
946.4,0.9971201519721034
946.5,0.9854717561863868
946.6,0.9738309849419503
946.7,0.9621982478437993
946.8,0.9508840509744372
946.9,0.9411708281809748
947.0,0.9318895345584512
947.1,0.9226181125226677
947.2,0.9133570751833937
947.3,0.904488857959473
947.4,0.8983938382267307
947.5,0.8930855731719662
947.6,0.8877899862179611
947.7,0.8825077156371438
947.8,0.8772394276467207
947.9,0.8741711560101088
948.0,0.8720447832313342
948.1,0.8700148260119469
948.2,0.868001817033623
948.3,0.8660065785281553
948.4,0.8650201739785036
948.5,0.8649697493503624
948.6,0.8653549858964672
948.7,0.8657616414834455
948.8,0.866190724684679
948.9,0.8668486916080139
949.0,0.8682594870932451
949.1,0.8701626387364225
949.2,0.8721224662026504
949.3,0.8741104133825037
949.4,0.8761277592362177
949.5,0.8785717594920557
949.6,0.8812045127536977
949.7,0.8837670830708102
949.8,0.8863646913895535
949.9,0.8889988873145068
950.0,0.8916712800935648
950.1,0.8949390650607282
950.2,0.8978923958861407
950.3,0.9004876187082944
950.4,0.9031281117568769
950.5,0.9058158129351401
950.6,0.9086010936071791
950.7,0.9116196075610165
950.8,0.9141888451796275
950.9,0.9164187773468867
951.0,0.9187067370752128
951.1,0.9210551311551692
951.2,0.9233503432738907
951.3,0.9254401433635042
951.4,0.927271897720137
951.5,0.9288853090847091
951.6,0.9305725468835687
951.7,0.932336580866398
951.8,0.9339730385483475
951.9,0.9351316738728647
952.0,0.9363279593754493
952.1,0.9375310839239175
952.2,0.9388274769375575
952.3,0.9402207804277418
952.4,0.9416860486942783
952.5,0.9430235839966928
952.6,0.9445017103927089
952.7,0.9464161159434861
952.8,0.9484475728498857
952.9,0.9506005218305824
953.0,0.9528795503335082
953.1,0.956005706497103
953.2,0.959414287969268
953.3,0.9634329905548721
953.4,0.9678085444826845
953.5,0.9723354643079675
953.6,0.9770193081671807
953.7,0.982907717144701
953.8,0.9903458347257897
953.9,0.9981106911831777
954.0,1.0066910872456794
954.1,1.0154145711496365
954.2,1.0248137672709512
954.3,1.034300255141227
954.4,1.0469616136735957
954.5,1.059936970403136
954.6,1.0753689715341934
954.7,1.0917086396145368
954.8,1.10804830769488
954.9,1.1246415415196542
955.0,1.144651218745966
955.1,1.1672599794330432
955.2,1.18990966905275
955.3,1.2144290003857527
955.4,1.2437434325732575
955.5,1.2743846096694431
955.6,1.3068943509856177
955.7,1.3445151251991594
955.8,1.385144994658914
955.9,1.4277882995894724
956.0,1.4819832006715052
956.1,1.5376103801079641
956.2,1.6036090041611542
956.3,1.6722588380220385
956.4,1.7451524084739447
956.5,1.8193708168337586
956.6,1.8927268845889444
956.7,1.9609122588606436
956.8,2.023212094634807
956.9,2.079257062980394
957.0,2.130673070796156
957.1,2.1759118227826524
957.2,2.216660225239931
957.3,2.2560240032169023
957.4,2.2936828134110767
957.5,2.3302219336117123
957.6,2.3664295986612323
957.7,2.4019678618795157
957.8,2.4375146255347095
957.9,2.4721984640872625
958.0,2.5069776990679076
958.1,2.5406414008944016
958.2,2.573358045735301
958.3,2.6037756811331665
958.4,2.628960235629493
958.5,2.651669943880135
958.6,2.6621705786232734
958.7,2.6720184030135172
