id,fold,role
B_S_018c558d6eeb07bc,0,validation
B_S_025937d57502b6dc,0,train
B_S_02723e6d57e53340,0,test
B_S_031e7f770c2fe0a7,0,train
B_S_031ef7d52898f159,0,train
B_S_0322527498d9af87,0,train
B_S_0426f18d99dd5a18,0,train
B_S_044eb374f92ea1b3,0,test
B_S_04cde678090464c7,0,test
B_S_0572a8aba98dac73,0,validation
B_S_05842c562ecbd252,0,train
B_S_05991e9d132c10e1,0,test
B_S_05cf4bfaeaf45af4,0,train
B_S_0691bf18a8c496e4,0,test
B_S_07d8e51b433299e1,0,test
B_S_07e1dfb94e4d8ea8,0,validation
B_S_07f1023aa357cd10,0,train
B_S_083a6b312a31fc8e,0,validation
B_S_09430ab416ba2765,0,train
B_S_098fdf8be4a02f09,0,test
B_S_0999c4c3bab175b3,0,train
B_S_09ecf851b19497f2,0,train
B_S_0a98b47941e45071,0,validation
B_S_0ab6e555a98086ea,0,test
B_S_0ada7b29504fef82,0,validation
B_S_0b4be85f159a0963,0,train
B_S_0b69bb22cfd94545,0,train
B_S_0b79f194a6013e3d,0,train
B_S_0ba43a4559d6a4d5,0,test
B_S_0bdc1002b9c17c24,0,validation
B_S_0c112125550830c5,0,train
B_S_0d37f033941a5231,0,train
B_S_0d6ee41d334c881a,0,train
B_S_0d905a92f0ee5dc2,0,train
B_S_0db9397535b53836,0,validation
B_S_0dbec3ea0a8c13cf,0,train
B_S_0e0fcb9aeec09753,0,test
B_S_0f329dd9da91462d,0,test
B_S_0f4e6cdd786fdabd,0,train
B_S_0ff73b844a5a10e3,0,validation
B_S_106c379f3a101f38,0,validation
B_S_10fe4faa96d852f7,0,train
B_S_117d3fa7295dedac,0,train
B_S_127e3c72075c2de0,0,test
B_S_12995779405bd089,0,train
B_S_12bb1641a2177087,0,test
B_S_12f0bec697a41e71,0,test
B_S_141243a6a760176d,0,test
B_S_14d31c13fcc4a426,0,train
B_S_1534fe223f019cef,0,test
B_S_1559b0b0b7cffd82,0,train
B_S_1669a1c5b44ef639,0,validation
B_S_172917009ef8e229,0,train
B_S_186c66f4f55a7b04,0,train
B_S_19a90c2fd7fc9fe0,0,train
B_S_1a67a584a3707bb6,0,validation
B_S_1b99bcbef86a852d,0,test
B_S_1bcdfeb89dafd4a8,0,validation
B_S_1bd333886d969ee2,0,validation
B_S_1d0b2fbce045ca6e,0,test
B_S_1da64c932dcd1875,0,test
B_S_1dcb9a5b31aa6580,0,train
B_S_1e4bf206fb329c76,0,train
B_S_1ed04c1bd0da2958,0,train
B_S_1f84b3545214bea4,0,test
B_S_1fbbf420148e2f01,0,train
B_S_2042796204ba9571,0,train
B_S_20c5194c695e058a,0,test
B_S_20fb6b14b453f074,0,train
B_S_211570a356ed4771,0,train
B_S_212878e0d84de5d7,0,train
B_S_2217c23a6561054a,0,train
B_S_22628ef09a0ecfa8,0,train
B_S_229c13157b333636,0,train
B_S_2350e04713f4562f,0,validation
B_S_23f3a8cbd6a0a060,0,train
B_S_24644192b5fe4008,0,test
B_S_25c69e5913fe645a,0,train
