model_id,degree_0,degree_1,degree_2,degree_3,peak,peak_rank
Ti_coord_poly_feff_balanced,0.6168495213113093,0.14642941164998022,0.13271603920639685,0.10188445071033707,0.0021205771219766274,115
Ti_md_poly_feff_natural,0.6710323643004609,0.14207807737214898,0.08430188565050172,0.08112548068425189,0.021462191992636288,12
Ti_bader_poly_feff_natural,0.485625540621671,0.19474840052380957,0.16087613365016465,0.14413613406422612,0.014613791140128571,14
V_coord_poly_feff_balanced,0.5394610649158135,0.16942673684029913,0.1573024828454214,0.12947115525721084,0.004338560141255272,45
V_md_poly_feff_natural,0.741925256054504,0.2061777194843043,0.02852469101944102,0.0217942367568646,0.0015780966848860638,63
V_bader_poly_feff_natural,0.6694969454348826,0.19092018840368244,0.07071926947965179,0.06346163986408197,0.005401956817701192,38
Cr_coord_poly_feff_balanced,0.4753466862537179,0.2373090050328158,0.13957348030550254,0.1424912384825848,0.005279589925378765,31
Cr_md_poly_feff_natural,0.7543100735818252,0.18720238405029926,0.02158753544893445,0.026647875121312593,0.010252131797628397,25
Cr_bader_poly_feff_natural,0.7218627392177537,0.12421214187138241,0.08384084827707586,0.0612024533207897,0.008881817312998593,26
Mn_coord_poly_feff_balanced,0.5346164767988901,0.17133918472402204,0.1456656625905836,0.1373752033918817,0.011003472494622647,21
Mn_md_poly_feff_natural,0.7520037964995787,0.18371102615139917,0.030962243304602833,0.029691288640152306,0.003631645404266727,37
Mn_bader_poly_feff_natural,0.7307508494124026,0.12581571635244612,0.07866779951944312,0.06294572656027263,0.001819908155435494,96
Fe_coord_poly_feff_balanced,0.5750411511154154,0.1719316392964536,0.12548889480258082,0.12480868602172861,0.002729628763821573,122
Fe_md_poly_feff_natural,0.7030867761091694,0.20832190559904326,0.04454510759759188,0.03799594709967967,0.006050263594516017,34
Fe_bader_poly_feff_natural,0.5661908841967795,0.19967928584808958,0.13635102192049003,0.09524839753756428,0.0025304104970766397,105
Co_coord_poly_feff_balanced,0.5329979259564578,0.20546843057227218,0.13762808462249113,0.1214262412724711,0.002479317576307693,131
Co_md_poly_feff_natural,0.7051967586963043,0.2262279219169058,0.03828396913108551,0.027229352921513603,0.003061997334190747,44
Co_bader_poly_feff_natural,0.41928582801970044,0.367813496452769,0.1208896572894316,0.0903603122650695,0.001650705973029669,134
Ni_coord_poly_feff_balanced,0.5337645505365635,0.19227110164164266,0.1394708951699697,0.12941100324885815,0.005082449402965882,56
Ni_md_poly_feff_natural,0.6287656630965652,0.2967506851594288,0.03956478592680228,0.02984308456180104,0.005075781255402503,35
Ni_bader_poly_feff_natural,0.28700877562654753,0.22493029189192212,0.28250732591522093,0.19980316838997852,0.005750438176330853,47
Cu_coord_poly_feff_balanced,0.42390884710685117,0.20983735512266202,0.1844264490869945,0.1597559796395423,0.02207136904395,2
Cu_md_poly_feff_natural,0.5760127597604014,0.18325393586632732,0.12813601296984506,0.103589303348699,0.009007988054727236,28
Cu_bader_poly_feff_natural,0.6211441588054994,0.13203756850739742,0.12555003304522258,0.11626325409268147,0.005004985549199162,42
