energy_eV,mp-12007,mp-8120,mp-1188453
925.0,0.0,0.0,0.0
925.1,0.00016655655314961297,0.00011871237126215355,0.0006702335654319028
925.2,0.0003420594954597099,0.00024796302086867503,0.0013984828624917117
925.3,0.0005268892113353132,0.0003884874784794165,0.0021886978018745063
925.4,0.0007214380886190352,0.0005410591254574363,0.003045026649505474
925.5,0.0009261107685039871,0.0007064904718806094,0.003971822559051509
925.6,0.0011413243980245814,0.0008856344547445726,0.004973650210283051
925.7,0.0013675088851203374,0.0010793857573532476,0.006055292553265868
925.8,0.0016051071562745442,0.0012886821498990344,0.0072217576584192615
925.9,0.0018545754167296426,0.0015145058512315095,0.008478285672406669
926.0,0.002116383413275015,0.0017578849118131987,0.009830355879863193
926.1,0.002391014699613493,0.0020198946178678397,0.011283693870997535
926.2,0.0026789669043002684,0.0023016589167155466,0.01284427881500167
926.3,0.0029807520012566286,0.0026043518632979682,0.014518350839341491
926.4,0.003296896582860858,0.0029291990878917477,0.016312418514873493
926.5,0.0036279421356108393,0.0032774792850082434,0.018233266446794818
926.6,0.00397444531836636,0.003650525723487312,0.02028796297148009
926.7,0.004336978243163099,0.004049727777777071,0.02248386795910995
926.8,0.004716128758601384,0.004476532480404092,0.024828640722195556
926.9,0.005112500735812685,0.004932446095631617,0.027330248029920828
927.0,0.005526714356996933,0.005419035714302962,0.029996972228313604
927.1,0.005959406406540727,0.005937930869881075,0.03283741946631978
927.2,0.006411230564706364,0.006490825175672848,0.035860528027648254
927.3,0.0068828577038955825,0.007079477983244419,0.03907557676853125
927.4,0.007374976187491701,0.007705716062024145,0.04249219366129167
927.5,0.007888292171271556,0.008371435300089367,0.046120364443733644
927.6,0.008423529907399736,0.009078602426152053,0.04997044137447801
927.7,0.008981432050992609,0.009829256752727594,0.053474061425519845
927.8,0.009562759969257017,0.01062551194049531,0.05692678575040451
927.9,0.010168294053208111,0.011469557783846186,0.06037951007529407
928.0,0.010798834031955803,0.012363662017612588,0.06383223440017673
928.1,0.01145519928957517,0.013310172145000392,0.06822930416518087
928.2,0.012138229184545445,0.01431151728670216,0.07352473575584545
928.3,0.012848783371763558,0.015370210051202995,0.07905720481822144
928.4,0.013587742127137814,0.016488848426273,0.084910908118457
928.5,0.014356006674748678,0.017670117691639516,0.09116230822976878
928.6,0.015154499516595546,0.01891679235286615,0.10012270157307215
928.7,0.01598416476491061,0.020231738096410275,0.10944587677056285
928.8,0.016845968477047217,0.021617913765874342,0.1188851843174017
928.9,0.017740898992949457,0.023078373359443082,0.13287881761761852
929.0,0.018669967275187157,0.02461626804849766,0.14835088524668613
929.1,0.019634207251579154,0.026234848217442226,0.16484319750790846
929.2,0.02063467616038204,0.02793746552470553,0.18920037519111071
929.3,0.021672454898053216,0.029727574984937933,0.21686714084804273
929.4,0.02274864836959652,0.03160873707239327,0.2470756509249516
929.5,0.023864385841471235,0.033584619845484366,0.29897133141347854
929.6,0.025020821297092134,0.03565900109255762,0.3643410672267412
929.7,0.026219133794892935,0.037835770498838704,0.44184511928496356
929.8,0.027460527828964063,0.04011893183457542,0.5587704504579055
929.9,0.028746233692274376,0.04251260516436422,0.704238497549556
930.0,0.030077507842477473,0.04502102907765135,0.877292715022935
930.1,0.03156515133789656,0.04766752985594945,1.0280714781580054
930.2,0.033125292034025866,0.05040626044669359,1.1462650269820651
930.3,0.03509506473303008,0.05314499103743735,1.2288224628092648
930.4,0.03743516131784654,0.05610308201644381,1.3717026389195668
930.5,0.03985732224311364,0.0598692440527745,1.5860777028718325
930.6,0.042279483192441965,0.06435642473636925,1.8792690621657973
930.7,0.0452703600224311,0.06899425116383064,2.24271438877241
930.8,0.048983242977910534,0.07394175725173906,2.5321256620258934
930.9,0.05291714208205202,0.08013384059766446,2.7071426518677995
