# # comment:                                                     FEFF 9.9.1  
# # Source:
# # Structure
# # Reduced
# # space
# # abc:
# # angles:
# # sites:
# # POT  SCF 100  7.0000   0, NO core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.354 Rnm= 1.399 L2 shell
# # Pot 1 Z=65 Rmt= 1.784 Rnm= 1.834
# # Pot 2 Z=29 Rmt= 1.354 Rnm= 1.399
# # Gam_ch=1.162E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-8.336E+00eV kf=1.899E+00 Vint=-1.694E+01eV Rs_int= 1.910
# FMS rfms= 9.0000
# # PATH  Rmax=-1.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.984  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#     0/   0 paths used
#  xsedge+ 50, used to normalize mu           3.2624E-03
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
     954.063    -10.774  -0.800  1.04579E-01  1.08205E-01 -3.62603E-03
     954.526    -10.311  -0.720  1.27196E-01  1.33572E-01 -6.37578E-03
     954.941     -9.897  -0.640  1.57602E-01  1.68559E-01 -1.09570E-02
     955.307     -9.531  -0.560  1.99009E-01  2.17551E-01 -1.85428E-02
     955.624     -9.214  -0.480  2.55486E-01  2.86276E-01 -3.07905E-02
     955.892     -8.946  -0.400  3.30505E-01  3.79891E-01 -4.93858E-02
     956.111     -8.726  -0.320  4.22390E-01  4.96759E-01 -7.43693E-02
     956.282     -8.555  -0.240  5.18633E-01  6.20492E-01 -1.01860E-01
     956.302     -8.536  -0.229  5.30966E-01  6.36386E-01 -1.05420E-01
     956.402     -8.436  -0.162  5.97876E-01  7.22508E-01 -1.24632E-01
     956.502     -8.336   0.000  6.69422E-01  8.13508E-01 -1.44086E-01
     956.602     -8.236   0.162  7.40322E-01  8.99833E-01 -1.59512E-01
     956.702     -8.136   0.229  8.06804E-01  9.79753E-01 -1.72949E-01
     956.802     -8.036   0.281  8.67235E-01  1.04882E+00 -1.81588E-01
     956.902     -7.936   0.324  9.21571E-01  1.10557E+00 -1.84004E-01
     956.995     -7.842   0.360  9.68289E-01  1.14825E+00 -1.79958E-01
     957.111     -7.726   0.400  1.02123E+00  1.18783E+00 -1.66605E-01
     957.239     -7.598   0.440  1.07639E+00  1.21824E+00 -1.41858E-01
     957.379     -7.458   0.480  1.13489E+00  1.23943E+00 -1.04544E-01
     957.532     -7.306   0.520  1.19747E+00  1.25198E+00 -5.45093E-02
     957.696     -7.141   0.560  1.26488E+00  1.25704E+00  7.84754E-03
     957.873     -6.964   0.600  1.33839E+00  1.25591E+00  8.24729E-02
     958.062     -6.775   0.640  1.41964E+00  1.24989E+00  1.69748E-01
     958.263     -6.574   0.680  1.50761E+00  1.24019E+00  2.67427E-01
