comparison_id,element,study,seed,family,delta_material,ci_low,ci_high,fraction_bootstrap_nonpositive,mae_white_material,mae_full_material,n_test_units
Ti_primary_1729,Ti,primary,1729,ridge,0.014479998591361416,-0.008631526727005692,0.03790387202633398,0.117,0.1344188440293178,0.1199388454379564,141
Ti_primary_1729,Ti,primary,1729,svr,0.02479491324926037,0.0046168849903544945,0.04679431372318396,0.01,0.12294249009916215,0.09814757684990177,141
Ti_primary_1729,Ti,primary,1729,extra_trees,0.04266098496040341,0.019507987601669555,0.06631246822596994,0.0,0.13079174203872976,0.08813075707832638,141
Ti_primary_2718,Ti,primary,2718,ridge,0.026711194565824034,0.011096259309711682,0.0445763346405738,0.0,0.15290510887726805,0.126193914311444,141
Ti_primary_2718,Ti,primary,2718,svr,0.0470623293585542,0.02852793820615564,0.06760479907326221,0.0,0.1437072657139936,0.09664493635543936,141
Ti_primary_2718,Ti,primary,2718,extra_trees,0.05444900259854121,0.037950121299115,0.0739514375575788,0.0,0.14627149201116588,0.09182248941262469,141
Ti_primary_31415,Ti,primary,31415,ridge,0.029410665723034017,0.010255011554331155,0.049802220237165844,0.002,0.14506437317849766,0.11565370745546365,141
Ti_primary_31415,Ti,primary,31415,svr,0.03369373456168994,0.014133744042901599,0.05428693491321378,0.0,0.13845225122893512,0.10475851666724516,141
Ti_primary_31415,Ti,primary,31415,extra_trees,0.042283693689684224,0.021950039944689068,0.06476008480631916,0.0,0.14128115972556796,0.09899746603588373,141
Ti_primary_57721,Ti,primary,57721,ridge,0.031239871526569776,0.012987903642218475,0.05151060367511074,0.0,0.1409379133592236,0.10969804183265379,141
Ti_primary_57721,Ti,primary,57721,svr,0.0576829303147807,0.027935418414861895,0.09180305650699679,0.0,0.13528359829231806,0.07760066797753734,141
Ti_primary_57721,Ti,primary,57721,extra_trees,0.05225915300956006,0.024754256730703396,0.08359990261719555,0.0,0.13674766031184873,0.08448850730228867,141
Ti_primary_81173,Ti,primary,81173,ridge,0.021686435966349078,0.0062996441693245414,0.04192765472147834,0.001,0.13186716634808163,0.11018073038173254,141
Ti_primary_81173,Ti,primary,81173,svr,0.039931077413498176,0.021231209192757804,0.06389225918716399,0.0,0.12458639937898662,0.08465532196548842,141
Ti_primary_81173,Ti,primary,81173,extra_trees,0.04034728587874354,0.02229371472721157,0.06212456260337827,0.0,0.1299447817513403,0.08959749587259674,141
Ti_unit_peak_normalized_1729,Ti,unit_peak_normalized,1729,ridge,0.01316917847567586,-0.007597792019379277,0.03479623581437924,0.101,0.1344188440293178,0.12124966555364196,141
Ti_unit_peak_normalized_1729,Ti,unit_peak_normalized,1729,svr,0.02309839207294906,0.003947573128523427,0.04155153839127123,0.007,0.12294249009916215,0.0998440980262131,141
Ti_unit_peak_normalized_1729,Ti,unit_peak_normalized,1729,extra_trees,0.04604056223410814,0.029084909317075348,0.06332327154566364,0.0,0.13079174203872976,0.08475117980462162,141
Ti_spectrum_identified_1729,Ti,spectrum_identified,1729,ridge,0.0032614738273443536,-0.007439717586465269,0.014456372584866883,0.314,0.09358595076468848,0.09032447693734412,271
