run_id,candidate,family,validation_mae
Ti_primary_1729_white_line,ridge_alpha1,ridge,0.11872758234485596
Ti_primary_1729_white_line,ridge_alpha100,ridge,0.11867899074599986
Ti_primary_1729_white_line,svr_gammafactor0.1,svr,0.114438892897446
Ti_primary_1729_white_line,svr_gammafactor1,svr,0.10914219913999139
Ti_primary_1729_white_line,extratrees_leaf2,extra_trees,0.1134059890416096
Ti_primary_1729_white_line,extratrees_leaf8,extra_trees,0.11505097634318442
Ti_primary_1729_full,ridge_alpha1,ridge,0.13460200095010538
Ti_primary_1729_full,ridge_alpha100,ridge,0.11634219684196358
Ti_primary_1729_full,svr_gammafactor0.1,svr,0.0914530034651574
Ti_primary_1729_full,svr_gammafactor1,svr,0.09159458680589204
Ti_primary_1729_full,extratrees_leaf2,extra_trees,0.08663895810862891
Ti_primary_1729_full,extratrees_leaf8,extra_trees,0.09326926649206575
Ti_primary_2718_white_line,ridge_alpha1,ridge,0.16610019569760665
Ti_primary_2718_white_line,ridge_alpha100,ridge,0.16610602166708713
Ti_primary_2718_white_line,svr_gammafactor0.1,svr,0.16284870999013334
Ti_primary_2718_white_line,svr_gammafactor1,svr,0.16434109402317096
Ti_primary_2718_white_line,extratrees_leaf2,extra_trees,0.16654001512685992
Ti_primary_2718_white_line,extratrees_leaf8,extra_trees,0.1637038338521635
Ti_primary_2718_full,ridge_alpha1,ridge,0.1314330777019459
Ti_primary_2718_full,ridge_alpha100,ridge,0.12708226347152285
Ti_primary_2718_full,svr_gammafactor0.1,svr,0.11598724243510754
Ti_primary_2718_full,svr_gammafactor1,svr,0.10138320427583303
Ti_primary_2718_full,extratrees_leaf2,extra_trees,0.10557672892392375
Ti_primary_2718_full,extratrees_leaf8,extra_trees,0.11886849673557837
Ti_primary_31415_white_line,ridge_alpha1,ridge,0.12581167748917813
Ti_primary_31415_white_line,ridge_alpha100,ridge,0.12563843149414555
Ti_primary_31415_white_line,svr_gammafactor0.1,svr,0.12266693206022057
Ti_primary_31415_white_line,svr_gammafactor1,svr,0.12078950827996417
Ti_primary_31415_white_line,extratrees_leaf2,extra_trees,0.12341967323319415
Ti_primary_31415_white_line,extratrees_leaf8,extra_trees,0.1234298378240287
Ti_primary_31415_full,ridge_alpha1,ridge,0.1290046295274366
Ti_primary_31415_full,ridge_alpha100,ridge,0.11975022935664692
Ti_primary_31415_full,svr_gammafactor0.1,svr,0.08477650609908649
Ti_primary_31415_full,svr_gammafactor1,svr,0.08891610436395482
Ti_primary_31415_full,extratrees_leaf2,extra_trees,0.08857818499672965
Ti_primary_31415_full,extratrees_leaf8,extra_trees,0.08652432270781764
Ti_primary_57721_white_line,ridge_alpha1,ridge,0.11137966971260932
Ti_primary_57721_white_line,ridge_alpha100,ridge,0.11142396414529877
Ti_primary_57721_white_line,svr_gammafactor0.1,svr,0.10965672348881335
Ti_primary_57721_white_line,svr_gammafactor1,svr,0.11370667030152881
Ti_primary_57721_white_line,extratrees_leaf2,extra_trees,0.11261274160356081
Ti_primary_57721_white_line,extratrees_leaf8,extra_trees,0.11188289583288248
Ti_primary_57721_full,ridge_alpha1,ridge,0.0992752587479414
Ti_primary_57721_full,ridge_alpha100,ridge,0.09225524270525931
Ti_primary_57721_full,svr_gammafactor0.1,svr,0.08020964277023297
Ti_primary_57721_full,svr_gammafactor1,svr,0.07910748699885185
Ti_primary_57721_full,extratrees_leaf2,extra_trees,0.07765006190906748
Ti_primary_57721_full,extratrees_leaf8,extra_trees,0.07963777075001072
Ti_primary_81173_white_line,ridge_alpha1,ridge,0.15465575158460404
Ti_primary_81173_white_line,ridge_alpha100,ridge,0.1545150792740722
Ti_primary_81173_white_line,svr_gammafactor0.1,svr,0.1491654399333799
Ti_primary_81173_white_line,svr_gammafactor1,svr,0.14745527885110668
Ti_primary_81173_white_line,extratrees_leaf2,extra_trees,0.14964606653845117
Ti_primary_81173_white_line,extratrees_leaf8,extra_trees,0.1504947916426855
Ti_primary_81173_full,ridge_alpha1,ridge,0.12741141220912128
Ti_primary_81173_full,ridge_alpha100,ridge,0.12180526072490118
Ti_primary_81173_full,svr_gammafactor0.1,svr,0.10901904539188424
Ti_primary_81173_full,svr_gammafactor1,svr,0.08867844698826695
Ti_primary_81173_full,extratrees_leaf2,extra_trees,0.09590801679525204
Ti_primary_81173_full,extratrees_leaf8,extra_trees,0.1069772495592685
Ti_unit_peak_normalized_1729_white_line,ridge_alpha1,ridge,0.11872758234485596
Ti_unit_peak_normalized_1729_white_line,ridge_alpha100,ridge,0.11867899074599986
Ti_unit_peak_normalized_1729_white_line,svr_gammafactor0.1,svr,0.114438892897446
Ti_unit_peak_normalized_1729_white_line,svr_gammafactor1,svr,0.10914219913999139
Ti_unit_peak_normalized_1729_white_line,extratrees_leaf2,extra_trees,0.1134059890416096
Ti_unit_peak_normalized_1729_white_line,extratrees_leaf8,extra_trees,0.11505097634318442
