energy_eV,weighted_0,weighted_1,weighted_2,mixture
925.0,0.0,0.0,0.0,0.0
925.1,5.4963662539372285e-05,3.917508251651067e-05,0.00022117707659252795,0.0003153158216484109
925.2,0.00011287963350170428,8.182779688666276e-05,0.0004614993446222649,0.000656206775010632
925.3,0.00017387343974065335,0.00012820086789820746,0.0007222702746185871,0.001024344582257448
925.4,0.00023807456924428163,0.000178549511400954,0.0010048587943368064,0.001421482874982042
925.5,0.0003056165536063158,0.00023314185572060112,0.001310701444486998,0.0018494598538139149
925.6,0.0003766370513481119,0.00029225937006570893,0.0016413045693934069,0.0023102009908072276
925.7,0.0004512779320897114,0.00035619729992657174,0.0019982465425777366,0.0028057217745940197
925.8,0.0005296853615705996,0.00042526510946668135,0.0023831800272783566,0.003338130498315638
925.9,0.0006120098875207821,0.0004997869309063982,0.002797834271894201,0.003909631090321381
926.0,0.0006984065263807549,0.0005801020208983556,0.003244017440354854,0.0045225259876339645
926.1,0.0007890348508724527,0.0006665652238963871,0.003723618977429187,0.005179219052198027
926.2,0.0008840590784190886,0.0007595474425161305,0.004238612008950551,0.0058822185298857705
926.3,0.0009836481604146876,0.0008594361148883295,0.004791055776982692,0.006634140052285709
926.4,0.0010879758723440832,0.0009666356990042767,0.005383098109908253,0.007437709681256613
926.5,0.001197220904751577,0.0010815681640527204,0.00601697792744229,0.008295766996246588
926.6,0.001311566955060899,0.0012046734887508131,0.00669502778058843,0.009211268224400142
926.7,0.0014312028202438229,0.0013364101666664336,0.0074196764265062835,0.01018728941341654
926.8,0.0015563224903384569,0.0014772557185333502,0.008193451438324534,0.011227029647196341
926.9,0.0016871252428181862,0.0016277072115584337,0.009018981849873873,0.012333814304250493
927.0,0.001823815737808988,0.0017882817857199777,0.00989900083534349,0.013511098358872455
927.1,0.00196660411415844,0.001959517187060755,0.010836348423885528,0.014762469725104723
927.2,0.0021157060863531,0.00214197230797204,0.011833974249123925,0.016091652643449066
927.3,0.002271343042285542,0.0023362277344706585,0.012894940333615315,0.017502511110371516
927.4,0.0024337421418722614,0.002542886300467968,0.014022423908226252,0.01899905235056648
927.5,0.0026031364165196138,0.002762573649029491,0.015219720266432103,0.020585430331981208
927.6,0.002779764869441913,0.0029959388006301777,0.016490245653577745,0.022265949323649836
927.7,0.002963872576827561,0.003243654728400106,0.01764644027042155,0.023853967575649216
927.8,0.003155710789854816,0.0035064189403634528,0.01878583929763349,0.025447969027851756
927.9,0.0033555370375586767,0.0037849540686692414,0.019925238324847043,0.02706572943107496
928.0,0.0035636152305454152,0.004080008465812154,0.02106463735205832,0.028708261048415888
928.1,0.0037802157655598065,0.00439235680785013,0.02251567037450969,0.030688242947919626
928.2,0.004005615630899997,0.004722800704611713,0.024263162799429,0.03299157913494071
