model_id,degree_0,degree_1,degree_2,degree_3,peak,peak_rank
Ti_coord_poly_feff_balanced,0.6168495213113093,0.14642941164998022,0.13271603920639685,0.10188445071033707,0.0021205771219766274,115
Ti_coord_poly_max_balanced,0.43947526651956575,0.2650064872640874,0.16543001837221555,0.12868211972861537,0.0014061081155158153,157
Ti_md_poly_feff_natural,0.6710323643004609,0.14207807737214898,0.08430188565050172,0.08112548068425189,0.021462191992636288,12
Ti_md_poly_max_natural,0.4468179291837761,0.3177201940548594,0.11327397302171606,0.10664158611195994,0.01554631762768858,14
V_coord_poly_feff_balanced,0.5394610649158135,0.16942673684029913,0.1573024828454214,0.12947115525721084,0.004338560141255272,45
V_coord_poly_max_balanced,0.4742932905128376,0.20621093903139298,0.17022632973257584,0.1464381474848307,0.0028312932383630154,108
V_md_poly_feff_natural,0.741925256054504,0.2061777194843043,0.02852469101944102,0.0217942367568646,0.0015780966848860638,63
V_md_poly_max_natural,0.25275254026448746,0.6677653653497149,0.04333499649233769,0.029764701686834594,0.006382396206625406,30
Cr_coord_poly_feff_balanced,0.4753466862537179,0.2373090050328158,0.13957348030550254,0.1424912384825848,0.005279589925378765,31
Cr_coord_poly_max_balanced,0.460140660122867,0.2640297442420418,0.13539603095784863,0.1341596701241749,0.006273894553067753,25
Cr_md_poly_feff_natural,0.7543100735818252,0.18720238405029926,0.02158753544893445,0.026647875121312593,0.010252131797628397,25
Cr_md_poly_max_natural,0.46965657525181714,0.4376736482820487,0.03716724076099114,0.04209131098645887,0.013411224718684146,20
Mn_coord_poly_feff_balanced,0.5346164767988901,0.17133918472402204,0.1456656625905836,0.1373752033918817,0.011003472494622647,21
Mn_coord_poly_max_balanced,0.5136446596002275,0.19355498355929385,0.13984990664170818,0.14768361167461885,0.005266838524151762,47
Mn_md_poly_feff_natural,0.7520037964995787,0.18371102615139917,0.030962243304602833,0.029691288640152306,0.003631645404266727,37
Mn_md_poly_max_natural,0.25052433005581964,0.6433725240021049,0.05904917334990314,0.04246373252914474,0.004590240063027546,30
Fe_coord_poly_feff_balanced,0.5750411511154154,0.1719316392964536,0.12548889480258082,0.12480868602172861,0.002729628763821573,122
Fe_coord_poly_max_balanced,0.5263429584547333,0.19662457913843562,0.13670458409562883,0.13795162779909861,0.0023762505121036823,152
Fe_md_poly_feff_natural,0.7030867761091694,0.20832190559904326,0.04454510759759188,0.03799594709967967,0.006050263594516017,34
Fe_md_poly_max_natural,0.22723493410930146,0.6161204056078617,0.08572673955470095,0.06066651004984896,0.01025141067828701,19
Co_coord_poly_feff_balanced,0.5329979259564578,0.20546843057227218,0.13762808462249113,0.1214262412724711,0.002479317576307693,131
Co_coord_poly_max_balanced,0.583302250347737,0.16415299092819197,0.13067941474711733,0.11937524001050642,0.002490103966447428,133
Co_md_poly_feff_natural,0.7051967586963043,0.2262279219169058,0.03828396913108551,0.027229352921513603,0.003061997334190747,44
Co_md_poly_max_natural,0.20059442954403855,0.6116638673121358,0.13446904200792217,0.043180735121338486,0.010091926014564823,16
Ni_coord_poly_feff_balanced,0.5337645505365635,0.19227110164164266,0.1394708951699697,0.12941100324885815,0.005082449402965882,56
Ni_coord_poly_max_balanced,0.554602158082812,0.18532430577365736,0.12404791478852133,0.13255625520173234,0.0034693661532769877,85
Ni_md_poly_feff_natural,0.6287656630965652,0.2967506851594288,0.03956478592680228,0.02984308456180104,0.005075781255402503,35
Ni_md_poly_max_natural,0.20498185421381404,0.6562015646566238,0.07829161867017596,0.04762426453885329,0.012900697920532772,13
Cu_coord_poly_feff_balanced,0.42390884710685117,0.20983735512266202,0.1844264490869945,0.1597559796395423,0.02207136904395,2
Cu_coord_poly_max_balanced,0.4504971398784664,0.19561600646251617,0.17300565565876086,0.1688373877725488,0.012043810227707875,12
Cu_md_poly_feff_natural,0.5760127597604014,0.18325393586632732,0.12813601296984506,0.103589303348699,0.009007988054727236,28
Cu_md_poly_max_natural,0.3724395658062452,0.3054148833847194,0.16160718322824696,0.11733609996750392,0.04320226761328457,1
